split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note
cv,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e90_smoothfg,0.021652201051525606,0.0023007653372668514,0.017154090462929414,0.01413346069880565,0.029170941404245563,0.003836048699262165,0.0021793214738111103,40798.19331955598,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
cv,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e90_smoothcsh,0.01876054475407062,-0.01569968707282329,0.005737744854670567,0.007680547587657117,0.02984054192048412,0.005652990417967712,0.005136043584536027,39496.79499923048,30,False,"same random survival forest learner, logrank versus logrankCR splitting"
cv,rsf_naive - rsf_cr,rsf_naive,rsf_cr,secondary,True,10,e90_smoothnet,-0.01287583258108453,-0.02148733256655291,-0.01935882811358774,-0.014209732577449584,-0.011541932584719476,0.0006693059331421305,0.6547184999225658,73.08066588411485,30,True,"same random survival forest learner, logrank versus logrankCR splitting"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,ici_smoothfg,0.01520269354665102,0.013032219325839587,0.01521588313007732,0.014175557980303238,0.016229829112998802,0.0005240240123467408,0.029190327434848652,18452.024427814635,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,ici_smoothcsh,0.015173087247882187,0.013907049802636495,0.014877751132529406,0.01458649471410135,0.015759679781663025,0.00029918433008020674,0.0870571083428401,3514.401522475624,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,ici_smoothnet,0.014442240760540345,0.0027227205541834245,0.008968584078075159,0.01113396050223924,0.017750521018841448,0.0016878782895384482,0.0037818898492551927,40202.838924246396,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e50_smoothfg,-0.00075058778293298,-0.00029488924725275744,0.0012290533892131024,-0.0014976155272338398,-3.560038632120072e-06,0.00038106445331201463,0.06532095017263734,5828.10811216263,30,False,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e50_smoothcsh,-0.00042782515166208995,-0.0008263173186140751,9.924362049958039e-05,-0.0009579691879333903,0.00010231888460921043,0.0002704670493323465,0.031834544392813885,16727.24766613303,30,False,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e50_smoothnet,0.00010502549714556997,-0.001537568816410055,-3.719600420541993e-05,-0.0005751064475613495,0.0007851574418524894,0.0003469982799816051,0.016297383248253125,29597.665052283446,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e90_smoothfg,0.05318334853841327,0.04911851103568222,0.052641651999397285,0.05126962999682757,0.05509706707999897,0.0009759560034031282,0.10191539843749799,2632.3614920322216,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e90_smoothcsh,0.0528438055948763,0.04577630385418817,0.05194720186849109,0.049768645517849416,0.05591896567190319,0.001568848636417355,0.03752163583268097,13621.32172876261,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,logistic - logistic_cr,logistic,logistic_cr,secondary,True,10,e90_smoothnet,0.050730069307772734,0.0112640294881418,0.03323619541143089,0.039220786946730424,0.06223935166881504,0.0058720163504018055,0.002322163597407486,40756.34562542568,30,True,"same IPCW binomial learner, competing death as censoring versus as an event"
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,ici_smoothfg,0.005374609033868327,0.001400683099805048,0.004185229400591115,0.0038429946199329255,0.006906223447803729,0.0007814230453042223,0.011126390567410443,34723.07111910988,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,ici_smoothcsh,0.0035527352584365634,-0.0029669622449629922,0.00039795350139962537,0.0016650438689662015,0.005440426647906925,0.0009630971570857369,0.0009880529044667703,41057.99207167552,30,False,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,ici_smoothnet,-0.005797489376747584,-0.00618674817827024,-0.0052472067145672265,-0.0062966855609544,-0.005298293192540768,0.0002544612700529884,0.14751644902943536,1309.8915184827365,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e50_smoothfg,0.0007576588423965134,0.0003378363317138781,0.00109470786595889,0.00033516101520381385,0.001180156669589213,0.00021551492627202461,0.06897964168943238,5308.3725267590025,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e50_smoothcsh,-0.0013512001517080733,-0.0012321610032445173,0.001424423186370995,-0.002667921139616455,-3.4479163799691495e-05,0.0006717889661282744,0.0009375592904485821,41065.43063791529,30,False,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e50_smoothnet,-0.001363595736598223,-0.0006203139964009274,0.0019820159968111577,-0.002754943272859421,2.7751799662975064e-05,0.0007098633006388,0.0010967671789177467,41040.980284597885,30,False,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e90_smoothfg,0.015793529932087866,-0.004026740866776693,0.0036661165929405383,0.011593987078481168,0.019993072785694566,0.002142584417174878,0.013014723430540392,32886.29637666119,30,False,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e90_smoothcsh,0.010429977123733326,-0.01610364110878602,-0.0063716653558614795,0.00502961698396757,0.01583033726349908,0.0027552543001005633,0.0027630967002325053,40613.06809160923,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e90_smoothnet,-0.01826769413719421,-0.019683489897126146,-0.01819089343585847,-0.019025004693421717,-0.0175103835809667,0.0003854757658300749,0.24005001096484554,511.5041712590396,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,ici_concordant_austin,-0.00104549890317503,-0.0007545746774717567,0.0009750864491190581,-0.0019811284653256686,-0.0001098693410243912,0.00047735615942266367,0.0051592510612979755,39483.19483896464,30,False,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e50_concordant_austin,-0.0007818540644803333,-0.0021932215143058453,-0.0011555584553968221,-0.0013446301845946907,-0.00021907794436597586,0.00028712613120684483,0.010407822663816884,35396.304465651316,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,cox_naive - fine_gray,cox_naive,fine_gray,secondary,False,10,e90_concordant_austin,-0.0018121469543789866,0.0009508320438027799,0.006603495823819945,-0.004803076987596347,0.001178783078838373,0.0015259676648663508,0.0014997115849923433,40966.11413934806,30,True,differs in the target of estimation as well as in the handling of competing risk
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,ici_smoothfg,0.008017148622446823,0.007873265654518992,0.009508874875637808,0.00718118533533915,0.008853111909554496,0.0004232232563106254,0.4414515178483964,156.5828428881769,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,ici_smoothcsh,0.006163800019829297,0.0035559419344929877,0.0078220450650046,0.003918315268872614,0.00840928477078598,0.0011453464996657092,0.07881776987372158,4201.580856679883,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,ici_smoothnet,-6.834201207728327e-05,-0.004494128490829107,-0.0012123003210127497,-0.0017345571719040507,0.0015978731477494842,0.0008498370149703384,0.08633202958982915,3568.034293883951,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,e50_smoothfg,0.002804654361353473,0.0026477748977496046,0.0035612033828732524,0.0023862607982068967,0.003223047924500049,0.00021238181907085748,0.3562702799680794,237.41127030545923,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,e50_smoothcsh,-0.0004263658316542933,0.0008133213171270577,0.00349809994402529,-0.0017246944342600937,0.0008719627709515071,0.0006622316644170124,0.07933466370962931,4152.9624244355755,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,e50_smoothnet,0.0007113201733441398,0.0015988668603969997,0.0041969812884435805,-0.0005689425382471406,0.00199158288493542,0.0006531046806209181,0.055186997236057946,7707.077346607936,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,e90_smoothfg,0.012868478862881708,0.006282470007844337,0.014782548016053177,0.008045760948309048,0.017691196777454368,0.00245796339446557,0.15985372230904504,1122.9184375437383,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,e90_smoothcsh,0.014727532826969314,-0.006479921658018665,0.010773385391036684,0.005788143485569084,0.023666922168369544,0.004560619559957852,0.03550294574658708,14636.19633684718,30,False,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,gbs_naive - deephit,gbs_naive,deephit,not_matched,False,10,e90_smoothnet,-0.009466851746563662,-0.024602486607386027,-0.015223283632896753,-0.014256201946442264,-0.00467750154668506,0.0024414842466274913,0.1422626668770107,1403.9146816309153,30,True,NOT a learner-matched pair: gradient-boosted Cox against a deep ranking model. They share no learner. Reported to show that the pairing structure carries the result.
cv,deephit - nfg,deephit,nfg,secondary,False,10,ici_smoothfg,-0.0007508914741867168,-0.0037231297894487272,-0.0017789992255386568,-0.0018068900589817754,0.00030510711060834203,0.000536986697370041,0.28650496692290595,362.6754873989848,30,True,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,ici_smoothcsh,8.453359949114994e-05,-0.004528670789312663,-0.0027877851094478896,-0.0009036444217068455,0.0010727116206891455,0.0004999671434687898,0.4596785419099327,144.77054375315893,30,True,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,ici_smoothnet,-0.00318970513101679,-0.004648152611129806,-0.0032686775329653136,-0.0038578435015681877,-0.0025215667604653923,0.0003370165261709689,0.5389164102753333,106.40931927999162,30,True,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,e50_smoothfg,-0.0005216113632601567,-0.00041568741783275503,0.0003232180276358574,-0.0008714248990196171,-0.00017179782750069634,0.00017640981641514917,0.5443958151255097,104.34850286488994,30,False,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,e50_smoothcsh,0.00041622633425525337,-0.00125972358795771,0.00014020106888004745,-0.00030803635646741746,0.0011404890249779242,0.00036889438871884973,0.20342079482679454,705.2402595153992,30,False,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
cv,deephit - nfg,deephit,nfg,secondary,False,10,e50_smoothnet,-0.0002625560391529967,-0.001346551245159065,8.025559364624999e-05,-0.0009765121225182324,0.0004514000442122391,0.00036399859526735405,0.1317711214571331,1624.480367113752,30,False,"Both are competing-risk deep models fitted as 10-member ensembles, so this contrast isolates the training objective (ranking-weighted likelihood versus a monotone cumulative-incidence parameterisation) rather than the competing-risk assumption. Not learner-matched in the sense used for the naive-versus-competing pairs."
