split,contrast,model_a,model_b,tier,learner_matched,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero,note,interval_valid,interval_note
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_all_at_0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_all_at_0.03,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_all_at_0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_all_at_0.075,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,nb_all_at_0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,5.0,log_eo_ratio,0.0612144349265807,0.0597421202808618,0.062639619782567,0.0597567415636566,0.0626721282895047,0.0007433168975437,0.1134788920680671,2154.2027862577643,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,mean_pred,0.0057907876869042,0.0056217867881059,0.0059575364924967,0.0056216683964033,0.0059599069774051,8.626665562161862e-05,0.0702037650254306,5149.251824930567,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,obs_cif,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,eo,0.1574318985144297,0.1480381563305854,0.1668072134256362,0.1479175246282897,0.1669462724005697,0.0048541626173171,0.0163657871987532,29529.262783797,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
cv,cox_naive - csc_cox,cox_naive,csc_cox,primary,True,10.0,calib_intercept,-0.2627026071151098,-0.2778666585683823,-0.2486722972244024,-0.2772912597209973,-0.2481139545092223,0.0074418358733537,0.0639455927626049,6042.308364024962,30,True,"same Cox proportional hazards learner, competing death censored versus modelled",True,
