"task","n","mean_risk10","secs"
"rsf_cr__cvr1f2__imp4",8230,0.0373407890527853,196.358834981918
"rsf_cr__cvr1f3__imp4",8230,0.0376271728617141,196.077650785446
"rsf_cr__cvr1f4__imp4",8229,0.0359912388453723,193.542017698288
"rsf_cr__cvr2f0__imp4",8232,0.0377163644559463,197.123470067978
"rsf_cr__cvr2f1__imp4",8230,0.0371507814212602,197.634974002838
"rsf_cr__cvr2f2__imp4",8230,0.0381311836627822,198.159526586533
"rsf_cr__cvr2f3__imp4",8230,0.0355076631473066,195.896299123764
"rsf_cr__cvr2f4__imp4",8229,0.036855520233769,196.303479909897
"rsf_naive__temporal__imp5",9329,0.0487910690842741,45.9914634227753
"rsf_cr__temporal__imp5",9329,0.0425944022257195,95.3455362319946
"rsf_naive__cvr0f0__imp5",8232,0.0431991895335202,103.733145475388
"rsf_naive__cvr0f1__imp5",8230,0.0424503590837575,105.092837810516
"rsf_naive__cvr0f2__imp5",8230,0.0413953546984026,103.267731666565
"rsf_naive__cvr0f3__imp5",8230,0.0423802050590531,105.952944278717
"rsf_naive__cvr0f4__imp5",8229,0.0423406569438856,106.736628055573
"rsf_naive__cvr1f0__imp5",8232,0.0421511466500037,106.117740869522
"rsf_naive__cvr1f1__imp5",8230,0.0424670303797862,103.555003643036
"rsf_naive__cvr1f2__imp5",8230,0.0435383161255394,105.694117069244
"rsf_naive__cvr1f3__imp5",8230,0.0444076546318725,105.95299243927
"rsf_naive__cvr1f4__imp5",8229,0.0422771072922444,104.463002204895
"rsf_naive__cvr2f0__imp5",8232,0.0440036481302092,105.252741098404
"rsf_naive__cvr2f1__imp5",8230,0.0424100348099127,106.178865671158
"rsf_naive__cvr2f2__imp5",8230,0.0434542634865979,107.105366945267
"rsf_naive__cvr2f3__imp5",8230,0.0420762999624796,103.137794017792
"rsf_naive__cvr2f4__imp5",8229,0.0435287216533657,110.023705005646
"rsf_cr__cvr0f0__imp5",8232,0.03684671557787,203.828988790512
"rsf_cr__cvr0f1__imp5",8230,0.0372962634307481,203.302403688431
"rsf_cr__cvr0f2__imp5",8230,0.0365824131952265,201.635180473328
