split,model,horizon_y,metric,fmi,df,m,se,m_required_von_hippel
cv,cox_naive,5.0,frac_above_0.075,0.06651975206208528,5650.109467379856,30,0.000999061684016308,4.0
cv,cox_naive,5.0,frac_above_0.2,0.2730218089007107,398.3116782620565,30,0.0002749824645632017,31.0
cv,cox_naive,5.0,nb_all_at_0.01,4.860149189361204e-05,41148.00014579739,30,0.0006354542394474852,2.0
cv,cox_naive,5.0,nb_all_at_0.02,4.860149189361204e-05,41148.00014579739,30,0.0006419384490491791,2.0
cv,cox_naive,5.0,nb_all_at_0.03,4.860149189361204e-05,41148.00014579739,30,0.0006485563622315248,2.0
cv,cox_naive,5.0,nb_all_at_0.05,4.860149189361204e-05,41148.00014579739,30,0.000662210189357622,2.0
cv,cox_naive,5.0,nb_all_at_0.075,4.860149189361204e-05,41148.00014579739,30,0.0006801078130975923,2.0
cv,cox_naive,5.0,nb_all_at_0.2,4.860149189361204e-05,41148.00014579739,30,0.0007863746300046314,2.0
cv,cox_naive,10.0,mean_pred,0.020513548138769756,25504.135641495937,30,0.0003342723227980067,2.0
cv,cox_naive,10.0,obs_cif,4.860149189361204e-05,41148.00014579739,30,0.0011106379883628879,2.0
cv,cox_naive,10.0,eo,0.0015083800111324512,40964.30009953929,30,0.03400430875446565,2.0
cv,cox_naive,10.0,calib_intercept,0.006443428127924498,38658.39505395112,30,0.04139716005247863,2.0
cv,cox_naive,10.0,calib_slope,0.01625615640529962,29638.90807093959,30,0.027299681482939514,2.0
cv,cox_naive,10.0,ici,0.023205816993524798,23090.08493090288,30,0.0010752355563507024,2.0
cv,cox_naive,10.0,e50,0.02306017269699119,23215.75834773737,30,0.0011416311519577638,2.0
cv,cox_naive,10.0,e90,0.02003878612877306,25948.50089126239,30,0.0028541974957444834,2.0
cv,cox_naive,10.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0011726856726112552,2.0
cv,cox_naive,10.0,eo_concordant,0.0014954727272047136,40966.998096574534,30,0.03254468821175416,2.0
cv,cox_naive,10.0,calib_intercept_concordant,0.005861843191021702,39049.05917729261,30,0.04116215732822851,2.0
cv,cox_naive,10.0,calib_slope_concordant,0.01629567526680114,29599.373451382522,30,0.026670677184223043,2.0
cv,cox_naive,10.0,ici_concordant,0.024357234388402076,22117.48979346526,30,0.0011173037832422489,2.0
cv,cox_naive,10.0,e50_concordant,0.0222539441412448,23921.9307080679,30,0.0010707843432741066,2.0
cv,cox_naive,10.0,e90_concordant,0.018407997546009962,27511.096624473015,30,0.0026121601996518633,2.0
cv,cox_naive,10.0,auc,0.015013846797258238,30885.755655220826,30,0.005697138818559197,2.0
cv,cox_naive,10.0,cindex,0.013585328786991127,32318.51894785556,30,0.0062859042553132845,2.0
cv,cox_naive,10.0,auc_marginal_ipcw,0.01198005760692595,33902.74557263766,30,0.0057465905337769204,2.0
cv,cox_naive,10.0,cindex_marginal_ipcw,0.011559056820521219,34309.763747247394,30,0.005595026007507813,2.0
cv,cox_naive,10.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.0023999912885427116,2.0
cv,cox_naive,10.0,nb_at_0.01,0.0014425542432998527,40977.86161866483,30,0.0011049870536845327,2.0
cv,cox_naive,10.0,nb_at_0.02,0.0025360200257143455,40689.499678448774,30,0.0010853552572989574,2.0
cv,cox_naive,10.0,nb_at_0.03,0.0048393636766269656,39666.34388956233,30,0.001061584681843976,2.0
cv,cox_naive,10.0,nb_at_0.05,0.009483170284360768,36233.35127254849,30,0.0009929553524482349,2.0
cv,cox_naive,10.0,nb_at_0.075,0.013303258480968477,32599.687596697877,30,0.0009192775766024088,2.0
cv,cox_naive,10.0,nb_at_0.2,0.07062632370948584,5095.910608337003,30,0.0005418679203536614,4.0
cv,cox_naive,10.0,frac_above_0.01,0.06544226495765841,5809.7350154787755,30,0.0025609896717387333,4.0
cv,cox_naive,10.0,frac_above_0.02,0.035358153737594156,14712.527178224169,30,0.0026234514592439707,2.0
cv,cox_naive,10.0,frac_above_0.03,0.0448665179434995,10607.713013355897,30,0.0025476882114052967,3.0
cv,cox_naive,10.0,frac_above_0.05,0.07624674678505443,4456.091247238653,30,0.0022715878758374484,4.0
cv,cox_naive,10.0,frac_above_0.075,0.04879013745000966,9353.567407062825,30,0.0019993066373907853,3.0
cv,cox_naive,10.0,frac_above_0.2,0.15318448753513378,1218.628226676378,30,0.0009566746458160434,12.0
