split,model,family,horizon_y,metric,concordant_smoother,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m
cv,deephit,competing,10,e50_smoothfg,undetermined,0.0007432124150499001,0.0022508649204643775,0.004145497621292038,-0.00014659734090172595,0.0016330221710015261,0.0004538844715767373,0.07085584154262829,5067.269402268857,30
cv,deephit,competing,10,e50_smoothcsh,undetermined,0.0020133386225272133,0.00022869875849775248,0.0012248666092975048,0.0014457316392910606,0.002580945605763366,0.0002883886916917526,0.32189142052979963,289.1812118853211,30
cv,deephit,competing,10,e50_smoothnet,undetermined,0.0013117194140125832,0.0002006729746581075,0.0011461010955493703,0.0007793814878059192,0.001844057340219247,0.0002710775313154472,0.2170258425120384,622.0757563885993,30
cv,deephit,competing,10,e90_smoothfg,undetermined,0.011914165409190738,0.005163262377061916,0.010115125600858286,0.00903222209164104,0.014796108726740436,0.0014607034169708021,0.40690678933817387,183.40085785496424,30
cv,deephit,competing,10,e90_smoothcsh,undetermined,0.0051942377700215005,0.0034586374610458557,0.01546615591517166,-0.001125097298079517,0.011513572838122519,0.003223625498943893,0.06023502143710924,6678.9554488428885,30
cv,deephit,competing,10,e90_smoothnet,undetermined,0.015308391223175113,0.025938312851863852,0.03965716119477883,0.008182858771789859,0.022433923674560367,0.003634928211726125,0.05773329125235877,7162.7630079628825,30
cv,fine_gray,competing,10,ici_smoothfg,smoothfg,0.002195318854947083,0.004181807591706665,0.006743091701687183,0.0008221975277771746,0.0035684401821169916,0.0007005565093313879,0.016110558831742037,29784.65999878792,30
cv,fine_gray,competing,10,ici_smoothcsh,smoothfg,0.0021385483571483466,0.003779271775388645,0.00660976275087201,0.0006350799477691951,0.0036420167665274982,0.0007670668437852252,0.0032783450773185073,40419.15580255087,30
cv,fine_gray,competing,10,ici_smoothnet,smoothfg,0.0069473093285196364,0.009694053273222392,0.012895272074979371,0.005145020666000916,0.008749597991038357,0.0009195242582716067,0.0037375715751808785,40222.918932555476,30
cv,fine_gray,competing,10,e50_smoothfg,smoothfg,0.0011728035911987163,0.0026930306743344827,0.0050344990223370675,-2.8217636286336856e-05,0.0023738248186837693,0.0006127572882654699,0.008277770873660691,37262.9435703433,30
cv,fine_gray,competing,10,e50_smoothcsh,smoothfg,0.00171943210286405,0.000648554212762125,0.0018485089998278852,0.0011072199863438456,0.0023316442193842546,0.00031234735862006565,0.013030604319724293,32870.551066860266,30
cv,fine_gray,competing,10,e50_smoothnet,smoothfg,0.001754545263316607,0.0006798908274004225,0.0020075410796128075,0.0011068255552765362,0.0024022649713566777,0.0003304619110783337,0.016045553829584218,29849.779721468352,30
cv,fine_gray,competing,10,e90_smoothfg,smoothfg,0.003703448671529987,0.008933353280623968,0.01581879820747337,0.0002136021877760159,0.007193295155283958,0.0017805094101321947,0.007787058280510277,37658.41459387154,30
cv,fine_gray,competing,10,e90_smoothcsh,smoothfg,0.0045120350060886836,0.012407039233613013,0.022337231062199016,-0.0006852087688341826,0.009709278781011549,0.0026516254510112755,0.0012753113432745812,41010.09698565721,30
