model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
deephit,0.055,0.0031034320208528626,0.09294279334375566,30,cv,5.0
deephit,0.06,0.002689246999689513,0.07927173364222281,30,cv,5.0
deephit,0.065,0.002270945650716833,0.06730982641167084,30,cv,5.0
deephit,0.07,0.001902510439329485,0.0573419303972632,30,cv,5.0
deephit,0.075,0.0016211948570344329,0.04895223283354799,30,cv,5.0
deephit,0.08,0.0013973892521555956,0.04170629038311476,30,cv,5.0
deephit,0.085,0.001181266240430616,0.03534381505512219,30,cv,5.0
deephit,0.09,0.0009812853870512274,0.029798924826992187,30,cv,5.0
deephit,0.095,0.0007847597450553617,0.02497576675603941,30,cv,5.0
deephit,0.1,0.0006118330689352887,0.020840859814396304,30,cv,5.0
deephit,0.125,0.0001382041277510453,0.00863162499088722,30,cv,5.0
deephit,0.15,-8.564335472864831e-06,0.003089704853939016,30,cv,5.0
deephit,0.2,1.0370577143686636e-05,0.0002932290021303654,30,cv,5.0
fine_gray,0.001,0.014915264144314964,0.9420664814409803,30,cv,5.0
fine_gray,0.002,0.014190030218538253,0.809228883326718,30,cv,5.0
fine_gray,0.003,0.013554776220924682,0.7106361665303125,30,cv,5.0
fine_gray,0.004,0.012959424777180232,0.6398283827313499,30,cv,5.0
fine_gray,0.005,0.012347891518478314,0.5849467678657735,30,cv,5.0
fine_gray,0.006,0.011785616057746343,0.5427776832748765,30,cv,5.0
fine_gray,0.007,0.011322549856365124,0.5072178615883508,30,cv,5.0
fine_gray,0.008,0.010914311139460361,0.4769315717992542,30,cv,5.0
fine_gray,0.009,0.010535325567534316,0.45002794585793787,30,cv,5.0
fine_gray,0.01,0.010164260839089558,0.4249420157198826,30,cv,5.0
fine_gray,0.011,0.00976080588372958,0.4021946273750604,30,cv,5.0
fine_gray,0.012,0.009454898155815366,0.3812152533082766,30,cv,5.0
fine_gray,0.013,0.009178647602550884,0.3625773911259076,30,cv,5.0
fine_gray,0.014,0.008886470693741592,0.3449431497546975,30,cv,5.0
fine_gray,0.015,0.008584506233896942,0.328762092996255,30,cv,5.0
fine_gray,0.016,0.008255774940679864,0.31351040476942643,30,cv,5.0
fine_gray,0.017,0.007928816014147112,0.2993603503627561,30,cv,5.0
fine_gray,0.018,0.0076306165317671,0.2858912568615856,30,cv,5.0
fine_gray,0.019,0.007314035288606525,0.27326431921459987,30,cv,5.0
fine_gray,0.02,0.007041014405786695,0.2608628384891416,30,cv,5.0
fine_gray,0.025,0.006002282312704067,0.20877094926814255,30,cv,5.0
fine_gray,0.03,0.004971891769794807,0.16802048822898863,30,cv,5.0
fine_gray,0.035,0.004496876843303756,0.136160590130117,30,cv,5.0
fine_gray,0.04,0.0038691767171205823,0.11046093115058632,30,cv,5.0
fine_gray,0.045,0.0033019668699893643,0.08883731730564128,30,cv,5.0
