model,threshold,net_benefit,frac_above,n_above,n_total,n_imp,per_1000_above,split,horizon_y
logistic_cr,0.2,0.00027602623986885266,0.03395732248980044,1397.3777777777777,41151.0,30,33.95732248980044,cv,10.0
nfg,0.01,0.02998095603042459,0.5296328697291006,21794.922222222223,41151.0,30,529.6328697291007,cv,10.0
nfg,0.02,0.025622926762449063,0.3883040509343637,15979.1,41151.0,30,388.3040509343637,cv,10.0
nfg,0.03,0.02186504596447805,0.3187388452825502,13116.422222222222,41151.0,30,318.7388452825502,cv,10.0
nfg,0.05,0.016236472396494377,0.23603395624245663,9713.033333333333,41151.0,30,236.03395624245664,cv,10.0
nfg,0.075,0.011296181330690245,0.17134159018681874,7050.877777777778,41151.0,30,171.34159018681873,cv,10.0
nfg,0.2,0.0005531048712984568,0.0156275397654708,643.0888888888888,41151.0,30,15.6275397654708,cv,10.0
rsf_cr,0.01,0.029738749791162786,0.5553052578714166,22851.366666666665,41151.0,30,555.3052578714166,cv,10.0
rsf_cr,0.02,0.024995748933008575,0.43540861704454326,17917.5,41151.0,30,435.40861704454323,cv,10.0
rsf_cr,0.03,0.02136129915685476,0.3599928717811637,14814.066666666668,41151.0,30,359.9928717811637,cv,10.0
rsf_cr,0.05,0.0158158896560301,0.2574623540942707,10594.833333333334,41151.0,30,257.4623540942707,cv,10.0
rsf_cr,0.075,0.01090614063650094,0.17480822661255702,7193.533333333334,41151.0,30,174.808226612557,cv,10.0
rsf_cr,0.2,0.00011316075795741114,0.015898358079593042,654.2333333333333,41151.0,30,15.898358079593041,cv,10.0
rsf_naive,0.01,0.029732389134356725,0.5531670622288105,22763.37777777778,41151.0,30,553.1670622288106,cv,10.0
rsf_naive,0.02,0.025002651698311402,0.43665767539063444,17968.9,41151.0,30,436.65767539063444,cv,10.0
rsf_naive,0.03,0.021459341603629084,0.3640624367168072,14981.533333333333,41151.0,30,364.0624367168072,cv,10.0
rsf_naive,0.05,0.01594360483291473,0.26977878220861384,11101.666666666666,41151.0,30,269.77878220861385,cv,10.0
rsf_naive,0.075,0.010871420165956153,0.1945938940325468,8007.733333333334,41151.0,30,194.59389403254679,cv,10.0
rsf_naive,0.2,-0.00022909896566687137,0.04291619752726409,1766.0444444444445,41151.0,30,42.91619752726409,cv,10.0
treat_all,0.01,0.027053343662067526,1.0,41151.0,41151.0,30,1000.0,cv,10.0
treat_all,0.02,0.01712531655657842,1.0,41151.0,41151.0,30,1000.0,cv,10.0
treat_all,0.03,0.006992587861285417,1.0,41151.0,41151.0,30,1000.0,cv,10.0
treat_all,0.05,-0.013912831341634894,1.0,41151.0,41151.0,30,1000.0,cv,10.0
treat_all,0.075,-0.04131588083735474,1.0,41151.0,41151.0,30,1000.0,cv,10.0
treat_all,0.2,-0.20402148721819144,1.0,41151.0,41151.0,30,1000.0,cv,10.0
treat_none,0.01,0.0,0.0,0.0,41151.0,30,0.0,cv,10.0
treat_none,0.02,0.0,0.0,0.0,41151.0,30,0.0,cv,10.0
treat_none,0.03,0.0,0.0,0.0,41151.0,30,0.0,cv,10.0
treat_none,0.05,0.0,0.0,0.0,41151.0,30,0.0,cv,10.0
treat_none,0.075,0.0,0.0,0.0,41151.0,30,0.0,cv,10.0
treat_none,0.2,0.0,0.0,0.0,41151.0,30,0.0,cv,10.0
