model,threshold,net_benefit,frac_above,n_imp,split,horizon_y
logistic,0.04,0.0018204880837531707,0.1623861078357809,30,temporal,5.0
logistic,0.045,0.0013153451761541495,0.14232322149569443,30,temporal,5.0
logistic,0.05,0.000785515079369557,0.12514024368456783,30,temporal,5.0
logistic,0.055,0.0004838603259298593,0.10985814842605496,30,temporal,5.0
logistic,0.06,0.0002716306735117905,0.09686282917068638,30,temporal,5.0
logistic,0.065,0.00012832543145986937,0.08671168756922858,30,temporal,5.0
logistic,0.07,6.769656111458684e-05,0.07730017508128775,30,temporal,5.0
logistic,0.075,8.305014200609729e-06,0.06902490441990924,30,temporal,5.0
logistic,0.08,1.1340669037333135e-05,0.06235395004823668,30,temporal,5.0
logistic,0.085,6.730291054336009e-05,0.05577232286418694,30,temporal,5.0
logistic,0.09,-4.868822534166706e-06,0.0497945474684675,30,temporal,5.0
logistic,0.095,-0.00011497050623543289,0.04464930146139279,30,temporal,5.0
logistic,0.1,-0.00021597328918585248,0.040032872405045196,30,temporal,5.0
logistic,0.125,-0.0011750353480442445,0.02514738985957766,30,temporal,5.0
logistic,0.15,-0.0011246818375758492,0.01571086575910244,30,temporal,5.0
logistic,0.2,-0.0009915317826133562,0.007735734448136635,30,temporal,5.0
logistic_cr,0.001,0.012905845424514808,0.934909064923,30,temporal,5.0
logistic_cr,0.002,0.012170988634645932,0.8138028370314789,30,temporal,5.0
logistic_cr,0.003,0.011520845453428926,0.7281166255761603,30,temporal,5.0
logistic_cr,0.004,0.010902853203646038,0.6635437881873727,30,temporal,5.0
logistic_cr,0.005,0.01050674460665783,0.6104119769893165,30,temporal,5.0
logistic_cr,0.006,0.010162378494355563,0.5656912137778254,30,temporal,5.0
logistic_cr,0.007,0.00978218523339008,0.5275020545253153,30,temporal,5.0
logistic_cr,0.008,0.009335786085014125,0.4940222246042805,30,temporal,5.0
logistic_cr,0.009,0.008969909879954717,0.46616286132847395,30,temporal,5.0
logistic_cr,0.01,0.008609985949464993,0.4421409940329439,30,temporal,5.0
logistic_cr,0.011,0.008344839289280018,0.4181226998249187,30,temporal,5.0
logistic_cr,0.012,0.00810995388402568,0.3976560545967771,30,temporal,5.0
logistic_cr,0.013,0.007902116516754468,0.3796226819594812,30,temporal,5.0
logistic_cr,0.014,0.00763497048144129,0.36371886947511345,30,temporal,5.0
logistic_cr,0.015,0.0073390854600912415,0.34869046342944937,30,temporal,5.0
logistic_cr,0.016,0.007059404177491233,0.33383713867152603,30,temporal,5.0
logistic_cr,0.017,0.006778263312995085,0.3201522135277093,30,temporal,5.0
logistic_cr,0.018,0.006427314922254055,0.30759638403544504,30,temporal,5.0
logistic_cr,0.019,0.006066479751575355,0.29551934826883913,30,temporal,5.0
logistic_cr,0.02,0.005765358989560021,0.2834744702897774,30,temporal,5.0
logistic_cr,0.025,0.004126916068174508,0.23451959838496444,30,temporal,5.0
logistic_cr,0.03,0.003204691132370367,0.1989030621359917,30,temporal,5.0
logistic_cr,0.035,0.002592821130313833,0.16974666809590166,30,temporal,5.0
logistic_cr,0.04,0.0020688176653446237,0.14534962661235573,30,temporal,5.0
logistic_cr,0.045,0.0015211437920784829,0.12485439668417479,30,temporal,5.0
logistic_cr,0.05,0.001076251567927214,0.1066816736341873,30,temporal,5.0
logistic_cr,0.055,0.0009389090891216872,0.09209990352663737,30,temporal,5.0
logistic_cr,0.06,0.0007885119915097368,0.08066602351091579,30,temporal,5.0
logistic_cr,0.065,0.0006620338816589603,0.07040411619680566,30,temporal,5.0
logistic_cr,0.07,0.0007303698222408166,0.06170722120984743,30,temporal,5.0
logistic_cr,0.075,0.0006917304269646426,0.05316396898560046,30,temporal,5.0
logistic_cr,0.08,0.0005407790262870496,0.04626076392610855,30,temporal,5.0
logistic_cr,0.085,0.00038452669574730335,0.04079751313109658,30,temporal,5.0
logistic_cr,0.09,0.00020072113544082764,0.03620252259977847,30,temporal,5.0
logistic_cr,0.095,-0.00014568721428871758,0.03222924929431522,30,temporal,5.0
logistic_cr,0.1,-0.0005351691062914131,0.028434630364097616,30,temporal,5.0
