model,threshold,net_benefit,frac_above,n_above,n_total,n_imp,per_1000_above,split,horizon_y
gbs_naive,0.075,-0.00011646333867365077,0.0741844427770036,692.0666666666667,9329.0,30,74.18444277700361,temporal,5.0
gbs_naive,0.2,-0.0007271233072497944,0.00955443598813735,89.13333333333334,9329.0,30,9.55443598813735,temporal,5.0
logistic,0.01,0.008759766890327507,0.42909922464001143,4003.0666666666666,9329.0,30,429.0992246400114,temporal,5.0
logistic,0.02,0.005733274122168967,0.28111623253653484,2622.5333333333333,9329.0,30,281.1162325365348,temporal,5.0
logistic,0.03,0.003338995019410706,0.20361239146746704,1899.5,9329.0,30,203.61239146746703,temporal,5.0
logistic,0.05,0.0011268389647072978,0.11801193411226642,1100.9333333333334,9329.0,30,118.01193411226642,temporal,5.0
logistic,0.075,0.000222497124630258,0.06543037838996676,610.4,9329.0,30,65.43037838996676,temporal,5.0
logistic,0.2,-0.0011290956515525065,0.007660699610533462,71.46666666666667,9329.0,30,7.660699610533462,temporal,5.0
logistic_cr,0.01,0.008739880312396121,0.4303533783542359,4014.766666666667,9329.0,30,430.35337835423593,temporal,5.0
logistic_cr,0.02,0.00562382097227357,0.27218708686175724,2539.233333333333,9329.0,30,272.1870868617572,temporal,5.0
logistic_cr,0.03,0.003342457599054643,0.19004180512380747,1772.9,9329.0,30,190.04180512380748,temporal,5.0
logistic_cr,0.05,0.0012204914687834393,0.1018687247650695,950.3333333333334,9329.0,30,101.8687247650695,temporal,5.0
logistic_cr,0.075,0.0008402549832499457,0.0511416014578197,477.1,9329.0,30,51.141601457819704,temporal,5.0
logistic_cr,0.2,-0.0006797798978096973,0.004916568406760282,45.86666666666667,9329.0,30,4.916568406760282,temporal,5.0
nfg,0.01,0.008785139420791685,0.32118126272912423,2996.3,9329.0,30,321.1812627291242,temporal,5.0
nfg,0.02,0.0059200226344155405,0.23409082788437488,2183.8333333333335,9329.0,30,234.09082788437487,temporal,5.0
nfg,0.03,0.004240002445907322,0.18424625719083862,1718.8333333333333,9329.0,30,184.2462571908386,temporal,5.0
nfg,0.05,0.001530033681051164,0.12207096151784756,1138.8,9329.0,30,122.07096151784756,temporal,5.0
nfg,0.075,0.0009915800675796393,0.06204309143530925,578.8,9329.0,30,62.04309143530925,temporal,5.0
nfg,0.2,-2.2331796905706223e-05,8.932718762282489e-05,0.8333333333333334,9329.0,30,0.08932718762282489,temporal,5.0
rsf_cr,0.01,0.008690001454499255,0.4456533390502733,4157.5,9329.0,30,445.6533390502733,temporal,5.0
rsf_cr,0.02,0.005525670446118205,0.3100475220638153,2892.4333333333334,9329.0,30,310.0475220638153,temporal,5.0
rsf_cr,0.03,0.0033491985785742196,0.23127166184299855,2157.5333333333333,9329.0,30,231.27166184299855,temporal,5.0
rsf_cr,0.05,0.0011129227291618476,0.132854539607675,1239.4,9329.0,30,132.85453960767498,temporal,5.0
rsf_cr,0.075,-7.426227814265077e-05,0.06446921785114518,601.4333333333333,9329.0,30,64.46921785114517,temporal,5.0
rsf_cr,0.2,-2.2331796905706216e-05,0.00017865437524564978,1.6666666666666667,9329.0,30,0.17865437524564978,temporal,5.0
rsf_naive,0.01,0.008686536642373281,0.43849287169042767,4090.7,9329.0,30,438.49287169042765,temporal,5.0
rsf_naive,0.02,0.005465000878687845,0.3055168471075857,2850.1666666666665,9329.0,30,305.5168471075857,temporal,5.0
rsf_naive,0.03,0.0033552765109279383,0.23178975953121092,2162.366666666667,9329.0,30,231.78975953121093,temporal,5.0
rsf_naive,0.05,0.001201497687836271,0.1413191839068139,1318.3666666666666,9329.0,30,141.3191839068139,temporal,5.0
rsf_naive,0.075,-0.000314238560567212,0.07595669417944045,708.6,9329.0,30,75.95669417944045,temporal,5.0
rsf_naive,0.2,-0.00018758709400793226,0.001518562189588023,14.166666666666666,9329.0,30,1.518562189588023,temporal,5.0
treat_all,0.01,0.0038665137818316014,1.0,9329.0,9329.0,30,1000.0,temporal,5.0
treat_all,0.02,-0.006298113628557872,1.0,9329.0,9329.0,30,1000.0,temporal,5.0
treat_all,0.03,-0.016672320985553317,1.0,9329.0,9329.0,30,1000.0,temporal,5.0
treat_all,0.05,-0.03807594879577549,1.0,9329.0,9329.0,30,1000.0,temporal,5.0
treat_all,0.075,-0.06613205551998562,1.0,9329.0,9329.0,30,1000.0,temporal,5.0
treat_all,0.2,-0.23271518919498338,1.0,9329.0,9329.0,30,1000.0,temporal,5.0
treat_none,0.01,0.0,0.0,0.0,9329.0,30,0.0,temporal,5.0
treat_none,0.02,0.0,0.0,0.0,9329.0,30,0.0,temporal,5.0
treat_none,0.03,0.0,0.0,0.0,9329.0,30,0.0,temporal,5.0
treat_none,0.05,0.0,0.0,0.0,9329.0,30,0.0,temporal,5.0
treat_none,0.075,0.0,0.0,0.0,9329.0,30,0.0,temporal,5.0
treat_none,0.2,0.0,0.0,0.0,9329.0,30,0.0,temporal,5.0
