source,label,family,horizon,n,F1,F2,gap_obs,gap_theory,inflation_theory,heterogeneity_multiplier
nhanes_stratum,female age 40-49,sex_x_age10,15,4080.0,0.0146888894405855,0.0487013443636469,0.0004082378172335,0.0003716646031318,1.025302430427783,
nhanes_stratum,female age 50-59,sex_x_age10,15,3540.0,0.0295509606836625,0.0884085181985954,0.0017256822360941,0.0014041333350218,1.0475156577836109,
nhanes_stratum,female age 60-69,sex_x_age10,15,3832.0,0.0688285538916897,0.1836396430727071,0.0077452925116983,0.0074339253107994,1.1080064143509043,
nhanes_stratum,female age 70-79,sex_x_age10,15,2397.0,0.1676694495833486,0.3648858104668548,0.0448072149417946,0.0452520771032866,1.2698886244079408,
nhanes_stratum,male age 30-39,sex_x_age10,15,3723.0,0.0074914754829874,0.0244484087421352,0.0001168251510796,9.333757156773387e-05,1.0124591706640067,
nhanes_stratum,male age 40-49,sex_x_age10,15,3778.0,0.0185032878177964,0.0592281563486149,0.0005022913094578,0.0005744002210354,1.0310431436127234,
nhanes_stratum,male age 50-59,sex_x_age10,15,3482.0,0.0398328722435026,0.1446689169357985,0.002593814526953,0.0032446871885443,1.0814575250488898,
nhanes_stratum,male age 60-69,sex_x_age10,15,3807.0,0.1121615447219278,0.2567079423728408,0.0183256946752334,0.0184325945502007,1.1643396994566997,
nhanes_stratum,male age 70-79,sex_x_age10,15,2528.0,0.2270158813270205,0.4437870624729381,0.0938370936996343,0.0863972980883793,1.3805782114596745,
nhanes_stratum,csc_cox decile 4,risk_decile,15,3531.0,0.0128923704729937,0.0491288884832954,0.0003286043295283,0.0003289605608106,1.0255159097002213,
nhanes_stratum,csc_cox decile 5,risk_decile,15,3531.0,0.0219235214524489,0.0688425509787501,0.0008310021956334,0.0007974822151941,1.036375644164819,
nhanes_stratum,csc_cox decile 6,risk_decile,15,3530.0,0.0277775729277606,0.1062524720237819,0.00166500600187,0.001606234878949,1.057824882077578,
nhanes_stratum,csc_cox decile 7,risk_decile,15,3531.0,0.0405353415053303,0.1645357246326219,0.0036542862230488,0.0038156593079592,1.0941316679781155,
nhanes_stratum,csc_cox decile 8,risk_decile,15,3531.0,0.1010320482392306,0.2288820312907949,0.0145388137503277,0.0143522483767393,1.1420563932620182,
nhanes_stratum,csc_cox decile 9,risk_decile,15,3531.0,0.1417777433488738,0.3396909621285982,0.0376849142896261,0.0340651815748479,1.2402717152227727,
nhanes_stratum,csc_cox decile 10,risk_decile,15,3531.0,0.245348047824061,0.4389031255442734,0.0944184192581952,0.0932251034914009,1.379970838644099,
nhanes_temporal_test_pooled,5 y pooled,pooled,5,8096.0,0.0117341897233201,0.0311264822134387,0.0002093863012512,0.0001872618355748,1.0159586507454106,3.2607965529202363
nhanes_temporal_test_pooled,10 y pooled,pooled,10,8096.0,0.0304181669881518,0.0837200755357594,0.0013808960853898,0.0013644475929425,1.0448563384333442,3.253810506746919
nhanes_temporal_test_pooled,15 y pooled,pooled,15,8096.0,0.0439893270787632,0.121144115557774,0.0030141304267993,0.002951554687551,1.0670970638461073,3.2287918898863563
