model,cfg_id,seed,seed_used,imp,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,deephit_037,1,20263514,1,"{""alpha"": 0.9, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.001, ""num_durations"": 20, ""sigma"": 0.5, ""trunk"": [64, 64]}",0.062280580233831394,0.041509174627173406,1.500405170500795,-0.29566427368401266,1.1493836431403877,0.021253869112357698,0.021222032675422643,0.033202034055932694,0.828132352515222,0.8217709742579316,1.0,0.03735900358197713
deephit,deephit_011,0,20262081,1,"{""alpha"": 0.2, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.0659329715130754,0.041509174627173406,1.5883951465012578,-0.5173218944689821,0.9926045788273579,0.02429644551430953,0.007610193394160431,0.07825465350710914,0.8356271400196676,0.828911780179766,1.0,0.038188146979185204
deephit,deephit_000,0,20261894,1,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06353227461631433,0.041509174627173406,1.5305598144734924,-0.3431843565414397,1.65306508976531,0.022970174882354408,0.01895365861082221,0.050851526530061864,0.8404760310674707,0.8340667368536779,1.0,0.03736691941890862
deephit,deephit_014,0,20262132,1,"{""alpha"": 0.5, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.5, ""trunk"": [64, 64]}",0.05642508624460611,0.041509174627173406,1.359340115803416,-0.22377365499331986,1.1187604849004096,0.014639320252336817,0.012701541873149758,0.026444597540343673,0.8272622183222483,0.8208608829361771,1.0,0.03702072575691482
deephit,deephit_015,1,20263140,1,"{""alpha"": 1.0, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [64, 64, 64]}",0.04826271612979137,0.041509174627173406,1.162699970868533,-0.11818421172424806,1.0330822837844955,0.00625794030376047,0.004029675089096019,0.014528431544087894,0.8340309838997871,0.8275742446131624,1.0,0.03668229747061795
deephit,deephit_011,1,20263072,1,"{""alpha"": 0.2, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06992717236052312,0.041509174627173406,1.684619677182072,-0.6028466902369938,0.9379009673111879,0.028352220926923813,0.008465394671633222,0.089994035780748,0.8367283998980055,0.8304345648291019,1.0,0.038824787986132495
deephit,deephit_015,0,20262149,1,"{""alpha"": 1.0, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [64, 64, 64]}",0.04361691755813193,0.041509174627173406,1.0507777605767838,0.018903825747685808,1.1880364327796238,0.004502516298349506,0.0033218163957968727,0.008673068876943857,0.8295269413964027,0.8231895127170473,1.0,0.036557179736440196
deephit,deephit_040,0,20262574,1,"{""alpha"": 0.0, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.05, ""trunk"": [32]}",0.1994564606298951,0.041509174627173406,4.8051174811682165,-1.4946940668801592,5.090099043660667,0.15802398562013742,0.16577830406338934,0.17795288212539462,0.8003583338437804,0.7945588253581124,1.0,0.06296321522584497
deephit,deephit_031,1,20263412,1,"{""alpha"": 0.2, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [32]}",0.06785120921701861,0.041509174627173406,1.6346075253590022,-0.36422746949814144,1.5820423143045341,0.026045786284655578,0.02540839619995683,0.0487586279042862,0.837227332232667,0.8307541601725862,1.0,0.03760669068610255
deephit,deephit_036,0,20262506,1,"{""alpha"": 0.1, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.001, ""num_durations"": 20, ""sigma"": 0.5, ""trunk"": [64, 64, 64]}",0.07354394539853143,0.041509174627173406,1.7717515720099841,-0.6327223393696814,0.8860466039828953,0.03295318797229023,0.01787225752795532,0.08387196084521914,0.8255124532466096,0.8189470879111492,1.0,0.039557740668028654
deephit,deephit_002,2,20263910,1,"{""alpha"": 0.5, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.25, ""trunk"": [64]}",0.05920613646170834,0.041509174627173406,1.4263385623415856,-0.28951039355932934,1.0828553660282438,0.017374669325858228,0.013366226153338379,0.036086446545431805,0.835146370104041,0.828686552624976,1.0,0.037060534102374365
deephit,deephit_029,0,20262387,1,"{""alpha"": 0.5, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 64]}",0.04945376688860067,0.041509174627173406,1.1913936456887881,-0.17608571588823696,1.007492747218328,0.00751217311025103,0.002870900691498486,0.0229059189943297,0.8383491287024626,0.8316902839877736,1.0,0.03662855526134869
deephit,deephit_031,2,20264403,1,"{""alpha"": 0.2, ""batch_size"": 128, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.003, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [32]}",0.06686970219811395,0.041509174627173406,1.6109619812661518,-0.36678500801379527,1.5826886956469643,0.02528203958459357,0.0233023112118933,0.0519640564363365,0.8364684280177037,0.8301340289897382,1.0,0.03750093710282387
deephit,deephit_005,0,20261979,1,"{""alpha"": 0.7, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [64], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.05, ""trunk"": [128, 64]}",0.06988860545509246,0.041509174627173406,1.6836905595646523,-0.377874578153804,1.6393146036942192,0.03291648555610184,0.028379296883038974,0.057691757727821646,0.8002506651244042,0.7941853636721901,1.0,0.03861218074959687
deephit,deephit_015,2,20264131,1,"{""alpha"": 1.0, ""batch_size"": 256, ""dropout"": 0.0, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 80, ""sigma"": 0.1, ""trunk"": [64, 64, 64]}",0.04476073817151134,0.041509174627173406,1.0783336111484458,-0.022427794492139927,1.031309014661455,0.002924055405223865,0.0034723132277121316,0.0044016376283047,0.835496560536411,0.8289955722680031,1.0,0.036630338176178896
deephit,deephit_030,2,20264386,1,"{""alpha"": 0.1, ""batch_size"": 512, ""dropout"": 0.0, ""head"": [32], ""lr"": 0.003, ""num_durations"": 20, ""sigma"": 0.25, ""trunk"": [128, 64]}",0.09193377286836456,0.041509174627173406,2.2147820016681656,-0.8287955303364839,1.11448601104109,0.049912673008451695,0.022420559459998532,0.14560106501693304,0.8408676508086194,0.834349026704341,1.0,0.04223054333149919
