model,imp,member,mean_risk10,frac_above_0.01,frac_above_0.02,frac_above_0.03,frac_above_0.05,frac_above_0.075,frac_above_0.2
deephit,27,4,0.0429048016667366,0.5660842534033659,0.43691714010076105,0.36713474112981026,0.28470361239146746,0.218029799549791,0.020366598778004074
deephit,27,5,0.04175162687897682,0.5845213849287169,0.43080716046735984,0.35062707685711225,0.25726230035373565,0.19401865151677564,0.03012112766641655
deephit,27,6,0.048804089426994324,0.5883803194340229,0.4480651731160896,0.38074820452352875,0.2996033872869547,0.24482795583663844,0.03880373030335513
deephit,27,7,0.04462767019867897,0.6752063458034088,0.49062064529960336,0.3946832457926895,0.2924214814020795,0.2135277092936006,0.022081680780362312
deephit,27,8,0.0482858270406723,0.5427162611212348,0.43091435309250725,0.36960017150820024,0.3031407439168185,0.24054025083074285,0.04727194768999893
deephit,27,9,0.048060342669487,0.6276128202379676,0.45964197663200773,0.38214170865044483,0.29006324364883695,0.22992818094115125,0.04148354593203987
deephit,28,0,0.04988937824964523,0.5662986386536606,0.4354164433486976,0.36960017150820024,0.2916711330260478,0.2304641440668882,0.05777682495444313
deephit,28,1,0.04850344732403755,0.6509808125200987,0.49169257155107726,0.3914674670382678,0.296387608532533,0.23743166470146854,0.028727623539500483
deephit,28,2,0.050760067999362946,0.6508736198949512,0.5049844570693536,0.4205166684532104,0.3202915639404009,0.25190266909636616,0.035695144174080824
deephit,28,3,0.04540489614009857,0.6155000535963125,0.4487083288669739,0.36349019187479903,0.27312680887554935,0.2081680780362311,0.042448279558366386
deephit,28,4,0.048787519335746765,0.5791617536713474,0.4537463822489013,0.3882516882838461,0.3052845964197663,0.2409690213313324,0.04577125093793547
deephit,28,5,0.04411573335528374,0.5719798477864723,0.4122628363168614,0.34012219959266804,0.25951334548183086,0.20377318040518813,0.04394897631042984
deephit,28,6,0.04098454862833023,0.5395004823668131,0.4007932254260907,0.32490084682173864,0.2507235502197449,0.19723443027119733,0.027226926787437024
deephit,28,7,0.04509381204843521,0.6060671025833423,0.4511737592453639,0.37571015114160144,0.281273448386751,0.20334440990459857,0.04276985743380855
deephit,28,8,0.045421626418828964,0.5680137206560189,0.4219101725801265,0.3507342694822596,0.26798156286847463,0.20066459427591382,0.047593525565441094
deephit,28,9,0.040669504553079605,0.5693000321577876,0.40207953692785936,0.3334762568335298,0.2567263372279987,0.19852074177296603,0.023582377532425768
deephit,29,0,0.04639442637562752,0.6606281487833637,0.47732875978132705,0.36927859363275806,0.270554185872012,0.21492121342051668,0.04084039018115554
deephit,29,1,0.04374475032091141,0.5483974702540465,0.42233894308071607,0.35480758923786043,0.2852395755172044,0.22081680780362312,0.0328009432951013
deephit,29,2,0.044062089174985886,0.6735984564261979,0.4839747025404652,0.3892164219101726,0.26916068174509594,0.20248686890341944,0.026476578411405296
deephit,29,3,0.04661281034350395,0.5503269375066996,0.4112981026905349,0.342587629971058,0.27109014899774897,0.2158859470468432,0.0497373780683889
deephit,29,4,0.044131819158792496,0.5647979419015972,0.42126701682924217,0.35159181048343874,0.27602100975452887,0.2114910494158002,0.03773180405188123
deephit,29,5,0.048109035938978195,0.5403580233679923,0.41826562332511524,0.35459320398756566,0.28566834601779395,0.2333583449458677,0.05209561582163147
deephit,29,6,0.04110343009233475,0.5794833315467895,0.4256619144602851,0.3585593311180191,0.2754850466287919,0.2050594919069568,0.02186729553006753
deephit,29,7,0.04380205273628235,0.612605852717333,0.4270554185872012,0.35630828598992387,0.2759138171293815,0.20763211491049416,0.0317290170436274
deephit,29,8,0.04130430892109871,0.5969557294458141,0.4339157465966342,0.3562010933647765,0.26583771036552684,0.19809197127237646,0.0243327259084575
deephit,29,9,0.04701795056462288,0.6524815092721621,0.44892271411726875,0.3709936756351163,0.2852395755172044,0.22456854968378176,0.028620430914353092
deephit,30,0,0.04586010426282883,0.5994211598242041,0.44227677135813054,0.3709936756351163,0.2960660306570908,0.2261764390609926,0.03183620966877479
deephit,30,1,0.04347394406795502,0.5821631471754743,0.4483867509915318,0.37613892164219104,0.2863115017686783,0.2158859470468432,0.026155000535963126
deephit,30,2,0.03914184123277664,0.5481830850037518,0.40647443455890236,0.3287597813270447,0.24997320184371316,0.1861935898810162,0.026369385786257905
deephit,30,3,0.051207300275564194,0.5990995819487619,0.45599742737699644,0.37828277414513883,0.29724514953371206,0.23796762782720549,0.06410118983813913
deephit,30,4,0.04889964312314987,0.6089613034623218,0.4432415049844571,0.3647765033765677,0.27752170650659236,0.22285346768142353,0.05766963232929574
deephit,30,5,0.04197894036769867,0.5735877371636832,0.42555472183513776,0.35041269160681743,0.2664808661164112,0.19112445063779612,0.04094758280630292
deephit,30,6,0.04843916743993759,0.5246007074713259,0.38321363490191873,0.325544002572623,0.26690963661700073,0.22103119305391788,0.0686032800943295
deephit,30,7,0.04695212095975876,0.6069246435845214,0.4514953371208061,0.36349019187479903,0.28148783363704577,0.2135277092936006,0.04845106656662022
deephit,30,8,0.04431932047009468,0.5811984135491478,0.4482795583663844,0.3700289420087898,0.28802658377103657,0.22349662343230786,0.02347518490727838
