split,model,horizon_y,metric,est_before,lo_before,hi_before,se_before,fmi_before,df_before,m_before,est_after,lo_after,hi_after,se_after,fmi_after,df_after,m_after,_merge,fmi_delta
cv,deephit,5.0,e50_concordant,0.00043964953414,0.0002663539089553,0.0013508931238902,0.0003008236372879,0.1508794811340297,1254.559301869026,30,0.0006374531503145,0.0002296689068316,0.0015236248174915,0.0003376516052521,0.045206593282304,10490.39116492636,30,both,-0.10567288785172571
cv,deephit,5.0,e90,0.0042389057421435,0.001594283353188,0.0089201627299189,0.0020509360571637,0.3011505381555978,329.1666789667834,30,0.0041045702140157,0.0012766514089889,0.0083372688153758,0.00182541519279,0.0487785126348039,9356.979732083732,30,both,-0.25237202552079385
cv,deephit,5.0,e90_concordant,0.0042389057421435,0.001594283353188,0.0089201627299189,0.0020509360571637,0.3011505381555978,329.1666789667834,30,0.0041045702140157,0.0012766514089889,0.0083372688153758,0.00182541519279,0.0487785126348039,9356.979732083732,30,both,-0.25237202552079385
cv,deephit,5.0,eo,1.086402988433838,0.9969439163804056,1.190355271100998,0.0496407026006503,0.2803284381575555,378.3749044074029,30,1.086559243996938,1.0067722082138062,1.1775181502103804,0.0432515512875267,0.045743757213876,10308.576068835577,30,both,-0.23458468094367949
cv,deephit,5.0,eo_concordant,1.086402988433838,0.9969439163804056,1.190355271100998,0.0496407026006503,0.2803284381575555,378.3749044074029,30,1.086559243996938,1.0067722082138062,1.1775181502103804,0.0432515512875267,0.045743757213876,10308.576068835577,30,both,-0.23458468094367949
cv,deephit,5.0,frac_above_0.01,0.3756093422571818,0.3634905517101288,0.3883097171783447,0.0069628722252436,0.9325899987682216,36.94958616967276,30,0.3799907644589742,0.3718419075012207,0.3870703876018524,0.0039165122745792,0.628753158561191,79.01052801276217,30,both,-0.3038368402070306
cv,deephit,5.0,frac_above_0.02,0.2561922341585159,0.2466282695531845,0.2668628931045532,0.0054986195287981,0.8975180904219415,39.80384972153232,30,0.2593815763791402,0.2532621681690216,0.2649348378181457,0.003045062934697,0.5016974551969346,122.20900884845078,30,both,-0.3958206352250069
cv,deephit,5.0,frac_above_0.03,0.1906852548321088,0.1815346777439117,0.2012508749961853,0.0051612027983683,0.912197234615608,38.57233688364895,30,0.1927427172660827,0.1874073594808578,0.1983995970338583,0.0028705793762227,0.5458146648065867,103.8247922461844,30,both,-0.3663825698090213
cv,deephit,5.0,frac_above_0.05,0.1084004985789457,0.1008885949850082,0.1170242950320243,0.0039807112476746,0.9137546175104764,38.44490282054324,30,0.1080478670696417,0.1035776795819401,0.113014668226242,0.0024783008655256,0.6527674333180841,73.5022536304894,30,both,-0.2609871841923923
cv,deephit,5.0,frac_above_0.075,0.049695565799872,0.0440491512417793,0.0572444573044776,0.0031988545722347,0.9599960426831792,34.91099212715158,30,0.0489522327979405,0.0454990975558757,0.0526840165257453,0.0017905487288867,0.7042511746293191,63.502127512654106,30,both,-0.2557448680538601
cv,deephit,5.0,frac_above_0.2,0.0007074217229577,0.0001944059622474,0.001579548465088,0.0003646526227623,0.9934119719333364,32.597972625642534,30,0.0002932290027577,0.0001134034828282,0.000550816883333,0.0001166359535103,0.7064835928943526,63.11632872716788,30,both,-0.2869283790389838
cv,deephit,5.0,ici,0.0014681420056149,0.0007662467760383,0.0029859862523153,0.0006006433472903,0.2671426544345229,415.5303367448879,30,0.001527016039472,0.0006398350815288,0.003000547963893,0.0006152688810232,0.0484167123702627,9464.031415801452,30,both,-0.2187259420642602
cv,deephit,5.0,ici_concordant,0.0014681420056149,0.0007662467760383,0.0029859862523153,0.0006006433472903,0.2671426544345229,415.5303367448879,30,0.001527016039472,0.0006398350815288,0.003000547963893,0.0006152688810232,0.0484167123702627,9464.031415801452,30,both,-0.2187259420642602
cv,deephit,5.0,mean_pred,0.0172312789286176,0.0164641921408474,0.0183653116691857,0.0004341391627294,0.957247256288309,35.10887277346424,30,0.0172337576126058,0.0168441263027489,0.0176228147000074,0.0001977911890852,0.5681194768728827,96.09229968708205,30,both,-0.3891277794154263
cv,deephit,5.0,nb_all_at_0.01,0.0059200543910264,0.0046905977185815,0.0071814869646914,0.0006354542394474,4.860149189361204e-05,41148.00014579739,30,0.0059200543910264,0.0046905977185815,0.0071814869646914,0.0006354542394474,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,nb_all_at_0.02,-0.0042236186563968,-0.00546562083764,-0.0029493141395505,0.0006419384490491,4.860149189361204e-05,41148.00014579739,30,-0.0042236186563968,-0.00546562083764,-0.0029493141395505,0.0006419384490491,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,nb_all_at_0.03,-0.0145764397457242,-0.0158312449697405,-0.0132889978354796,0.0006485563622315,4.860149189361204e-05,41148.00014579739,30,-0.0145764397457242,-0.0158312449697405,-0.0132889978354796,0.0006485563622315,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,nb_all_at_0.05,-0.0359359420835971,-0.0372171682305634,-0.0346213974058628,0.0006622101893576,4.860149189361204e-05,41148.00014579739,30,-0.0359359420835971,-0.0372171682305634,-0.0346213974058628,0.0006622101893576,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,nb_all_at_0.075,-0.063934214413166,-0.0652500601485371,-0.062584138661623,0.0006801078130975,4.860149189361204e-05,41148.00014579739,30,-0.063934214413166,-0.0652500601485371,-0.062584138661623,0.0006801078130975,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,nb_all_at_0.2,-0.2301739305257797,-0.2316953845322132,-0.2286129038780927,0.0007863746300046,4.860149189361204e-05,41148.00014579739,30,-0.2301739305257797,-0.2316953845322132,-0.2286129038780927,0.0007863746300046,4.860149189361204e-05,41148.00014579739,30,both,0.0
cv,deephit,5.0,nb_at_0.01,0.0103183142530421,0.009139383258298,0.011505689844489,0.0006055214100209,0.0137551888192015,32148.80706274302,30,0.0103445330945154,0.0091606941772624,0.0115401592105627,0.0006083334407873,0.006057340013018,38920.79606658807,30,both,-0.0076978488061834995
cv,deephit,5.0,nb_at_0.02,0.0074417438513288,0.0063710277783684,0.0085681341821327,0.0005708810872307,0.0166152312902426,29280.151396631805,30,0.0074700445247193,0.0064029992208816,0.0086122813867405,0.0005752787835591,0.0139358874592595,31967.990643008503,30,both,-0.002679343830983099
cv,deephit,5.0,nb_at_0.03,0.0056478029116988,0.0046390266390517,0.0067272910499013,0.0005462639040699,0.0360261647094869,14364.39606700553,30,0.005753864099582,0.0047176291584037,0.006847775762435,0.0005507098134568,0.0202754862082407,25726.31273365749,30,both,-0.015750678501246198
cv,deephit,5.0,nb_at_0.05,0.0033614878775551,0.0024493549251928,0.0043217706610448,0.0004879292441817,0.0720893446696026,4917.23228673783,30,0.0035574462264776,0.0026244199543725,0.0045366154867224,0.0004963076617962,0.0336349096408279,15659.253828621368,30,both,-0.03845443502877469
cv,deephit,5.0,nb_at_0.075,0.0014910053034933,0.0007913139677839,0.0022227405395824,0.0003698748324298,0.1074539508649115,2385.6545644749613,30,0.0016211948590353,0.0008986279121018,0.0023746605147607,0.0003794361675656,0.0875515636374082,3478.4997965630787,30,both,-0.0199023872275033
cv,deephit,5.0,nb_at_0.2,-3.5290907370229736e-05,-0.0001690027627773,8.810873223410449e-05,6.426913877359337e-05,0.5391318509393279,106.32712309549528,30,1.0370577047069674e-05,-6.075186684029177e-05,0.0001032781729009,4.2283534642640925e-05,0.2016624275594267,717.1978202152874,30,both,-0.3374694233799012
cv,deephit,5.0,obs_cif,0.015860853716731,0.0146436920156702,0.017109671421349,0.0006290996904501,4.860149189361204e-05,41148.00014579739,30,0.015860853716731,0.0146436920156702,0.017109671421349,0.0006290996904501,4.860149189361204e-05,41148.00014579739,30,both,0.0
