state,split,contrast,horizon_y,metric,est,lo,hi,lo_rubin,hi_rubin,se,fmi,df,m,ci_excludes_zero
ensemble,cv,deephit - nfg,10.0,nb_all_at_0.03,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,10.0,nb_all_at_0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,10.0,nb_all_at_0.075,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,10.0,nb_all_at_0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,15.0,mean_pred,0.00525149405002594,0.004364242404699325,0.0061916055157780646,0.004310967227499771,0.006192020872552108,0.00045991616914511533,1.0428116603206568,29.07640994604804,30,True
ensemble,cv,deephit - nfg,15.0,obs_cif,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,15.0,eo,0.08182220458984375,0.06791604310274124,0.09616537392139435,0.06669656170612534,0.09694784747356217,0.0074500871082130845,0.9598016067957976,34.92494481576833,30,True
ensemble,cv,deephit - nfg,15.0,calib_intercept,-0.11115626866618793,-0.12532716803252697,-0.09595514517277479,-0.1270966964121336,-0.09521584092024227,0.007835057774998981,0.9873619356213278,33.00638549277663,30,True
ensemble,cv,deephit - nfg,15.0,calib_slope,-0.028683960437774658,-0.05465524196624756,0.0004444539546965996,-0.05669722593655871,-0.0006706949389906035,0.014122163836632558,0.5525552399615584,101.39072922169719,30,False
ensemble,cv,deephit - nfg,15.0,ici,0.0016468076889092724,-0.0039561750600114465,0.005451068864203989,-0.003301412321584424,0.006595027699402969,0.0025244714961006635,0.03097058440872403,17269.826585513372,30,False
ensemble,cv,deephit - nfg,15.0,e50,0.0005489891550193231,-0.0015630932350177318,0.0019770714570768178,-0.0013400004386031408,0.002437978748641787,0.0009630855143761355,0.13024688718147573,1660.772281917651,30,False
ensemble,cv,deephit - nfg,15.0,e90,0.005151056498289108,-0.013987344782799482,0.01978196655400096,-0.012659351515821253,0.02296146451239947,0.009086436764526444,0.03246976275140811,16340.914185904016,30,False
ensemble,cv,deephit - nfg,15.0,obs_concordant,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,15.0,eo_concordant,0.08182220458984375,0.06791604310274124,0.09616537392139435,0.06669656170612534,0.09694784747356217,0.0074500871082130845,0.9598016067957976,34.92494481576833,30,True
ensemble,cv,deephit - nfg,15.0,calib_intercept_concordant,-0.11115626866618793,-0.12532716803252697,-0.09595514517277479,-0.1270966964121336,-0.09521584092024227,0.007835057774998981,0.9873619356213278,33.00638549277663,30,True
ensemble,cv,deephit - nfg,15.0,calib_slope_concordant,-0.028683960437774658,-0.05465524196624756,0.0004444539546965996,-0.05669722593655871,-0.0006706949389906035,0.014122163836632558,0.5525552399615584,101.39072922169719,30,False
ensemble,cv,deephit - nfg,15.0,ici_concordant,0.0016468076889092724,-0.0039561750600114465,0.005451068864203989,-0.003301412321584424,0.006595027699402969,0.0025244714961006635,0.03097058440872403,17269.826585513372,30,False
ensemble,cv,deephit - nfg,15.0,e50_concordant,0.0005489891550193231,-0.0015630932350177318,0.0019770714570768178,-0.0013400004386031408,0.002437978748641787,0.0009630855143761355,0.13024688718147573,1660.772281917651,30,False
ensemble,cv,deephit - nfg,15.0,e90_concordant,0.005151056498289108,-0.013987344782799482,0.01978196655400096,-0.012659351515821253,0.02296146451239947,0.009086436764526444,0.03246976275140811,16340.914185904016,30,False
ensemble,cv,deephit - nfg,15.0,auc,0.0017666717370351155,0.00017991364002227788,0.00350135862827301,6.534464818431216e-05,0.0034679988258859186,0.0008640820090448141,0.33639893579680474,265.4288505022179,30,True
ensemble,cv,deephit - nfg,15.0,cindex,0.0009082396825154623,-0.0011685296893119812,0.0034215003252029406,-0.0014408668809490954,0.0032573462459800197,0.0011929281523311815,0.3412013074272498,258.2147685818823,30,False
ensemble,cv,deephit - nfg,15.0,auc_marginal_ipcw,0.0007536828517913819,-0.0007801085710525512,0.0024107798933982842,-0.0008649607439841168,0.0023723264475668804,0.000821280106720428,0.3717926179814002,218.5312992821847,30,False
ensemble,cv,deephit - nfg,15.0,cindex_marginal_ipcw,0.0004532436529795329,-0.000933779776096344,0.0019217133522033691,-0.000987154559818821,0.0018936418657778868,0.0007323957058098626,0.2902287154972941,353.6819928696881,30,False
ensemble,cv,deephit - nfg,15.0,at_risk_fraction,0.0,0.0,0.0,0.0,0.0,0.0,4.860149189361204e-05,41148.00014579739,30,False
ensemble,cv,deephit - nfg,15.0,nb_at_0.01,0.0001483805477619171,-0.00020846351981163025,0.0004953369498252865,-0.00020796463881742768,0.0005047257343412619,0.00018128021504724618,0.26774820659561177,413.70534605123873,30,False
ensemble,cv,deephit - nfg,15.0,nb_at_0.02,-4.5511374870936076e-05,-0.0003934703767299652,0.00030884183943271634,-0.0004029321830124512,0.00031190943327057905,0.00018146592728116538,0.34937525480356457,246.60199026903862,30,False
ensemble,cv,deephit - nfg,15.0,nb_at_0.03,-0.00014309013883272807,-0.0005358334630727768,0.000288680475205183,-0.0005622166476674632,0.000276036370002007,0.0002120764730705005,0.45700885050065526,146.41414443166929,30,False
ensemble,cv,deephit - nfg,15.0,nb_at_0.05,-0.00011307125290234883,-0.0005639591254293919,0.00035596461966633746,-0.0005789178666483706,0.00035277536084367286,0.00023701618361258338,0.26167831126232494,432.5636276710344,30,False
ensemble,cv,deephit - nfg,15.0,nb_at_0.075,-1.8440311153729758e-05,-0.0005580939818173647,0.0005789448507130145,-0.0005974862361888139,0.0005606056138813544,0.00029348625776870257,0.40704118068443396,183.28334061972058,30,False
ensemble,cv,deephit - nfg,15.0,nb_at_0.2,0.0006372211656222741,-0.0005856659379787743,0.001867784059140831,-0.0005993448523945757,0.001873787183639124,0.0006291601683775376,0.26069826887037073,435.72999789420464,30,False
ensemble,cv,deephit - nfg,15.0,frac_above_0.01,-0.053286945819854735,-0.06644636392593384,-0.03900271505117416,-0.06763061789599312,-0.03894327374371635,0.007013924367779256,1.0429259209709316,29.06596264458922,30,True
ensemble,cv,deephit - nfg,15.0,frac_above_0.02,0.014596915245056153,0.007549464702606201,0.021441340446472168,0.007430014018844861,0.021763816471267444,0.0035134496003283444,1.019058707781211,30.875265229913538,30,True
ensemble,cv,deephit - nfg,15.0,frac_above_0.03,0.019398205478986106,0.012474387139081954,0.025855988264083862,0.01310886958528007,0.025687541372692142,0.003084668216597198,1.013813096554284,31.231114424395777,30,True
ensemble,cv,deephit - nfg,15.0,frac_above_0.05,0.01604956289132436,0.010311603546142578,0.02021011710166931,0.010984812130386375,0.021114313652262347,0.002486677560802758,1.0012599711858292,32.071959875554235,30,True
ensemble,cv,deephit - nfg,15.0,frac_above_0.075,0.018370556831359863,0.01366513893008232,0.021935462951660156,0.013557909678454258,0.023183203984265467,0.0023644228428566752,0.9932494283136389,32.608905087763326,30,True
ensemble,cv,deephit - nfg,15.0,frac_above_0.2,0.02528087521592776,0.0210687518119812,0.03025442361831665,0.020602682510636978,0.02995906792121854,0.0023026017708371884,0.9693148140242451,34.24985976106212,30,True
