split,model,horizon_y,metric,fmi_single,df_single,m_single,se_single,m_required_von_hippel_single,fmi_ens,df_ens,m_ens,se_ens,m_required_von_hippel_ens
cv,deephit,5.0,nb_all_at_0.02,4.860149189361204e-05,41148.00014579739,30,0.0006419384490491,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006419384490491,2.0
cv,deephit,5.0,nb_all_at_0.03,4.860149189361204e-05,41148.00014579739,30,0.0006485563622315,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006485563622315,2.0
cv,deephit,5.0,nb_all_at_0.05,4.860149189361204e-05,41148.00014579739,30,0.0006622101893576,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006622101893576,2.0
cv,deephit,5.0,nb_all_at_0.075,4.860149189361204e-05,41148.00014579739,30,0.0006801078130975,2.0,4.860149189361204e-05,41148.00014579739,30,0.0006801078130975,2.0
cv,deephit,5.0,nb_all_at_0.2,4.860149189361204e-05,41148.00014579739,30,0.0007863746300046,2.0,4.860149189361204e-05,41148.00014579739,30,0.0007863746300046,2.0
cv,deephit,10.0,mean_pred,0.9302623283411552,37.12994376478829,30,0.0008034502778493,185.0,0.5156616689973261,115.88577077516696,30,0.0003901109135147,83.0
cv,deephit,10.0,obs_cif,4.860149189361204e-05,41148.00014579739,30,0.0011106379883628,2.0,4.860149189361204e-05,41148.00014579739,30,0.0011106379883628,2.0
cv,deephit,10.0,eo,0.2994491203519061,332.8133035923144,30,0.0378321438947194,36.0,0.0531099031905791,8194.595970580507,30,0.0325788294949303,3.0
cv,deephit,10.0,calib_intercept,0.2329263971641547,542.31945957618,30,0.0399825327046112,24.0,0.0519822700490783,8477.238307884149,30,0.0357965967299759,3.0
cv,deephit,10.0,calib_slope,0.1994226871085564,732.875750612838,30,0.0500861754206883,19.0,0.0327549987111309,16170.844777904736,30,0.0504112783308496,2.0
cv,deephit,10.0,ici,0.347576151568944,249.08899875813492,30,0.0011626455867389,46.0,0.0825477857355665,3868.284085929857,30,0.0010411145808759,5.0
cv,deephit,10.0,e50,0.301739721633415,327.9179839371154,30,0.0006595262769913,36.0,0.0539829410714209,7984.6255619730355,30,0.000682656716454,3.0
cv,deephit,10.0,e90,0.2851818811591465,365.95446224843175,30,0.0038305804259271,33.0,0.0809485760008397,4006.30379231812,30,0.003224765718723,5.0
cv,deephit,10.0,obs_concordant,4.860149189361204e-05,41148.00014579739,30,0.0011106379883628,2.0,4.860149189361204e-05,41148.00014579739,30,0.0011106379883628,2.0
cv,deephit,10.0,eo_concordant,0.2994491203519061,332.8133035923144,30,0.0378321438947194,36.0,0.0531099031905791,8194.595970580507,30,0.0325788294949303,3.0
cv,deephit,10.0,calib_intercept_concordant,0.2329263971641547,542.31945957618,30,0.0399825327046112,24.0,0.0519822700490783,8477.238307884149,30,0.0357965967299759,3.0
cv,deephit,10.0,calib_slope_concordant,0.1994226871085564,732.875750612838,30,0.0500861754206883,19.0,0.0327549987111309,16170.844777904736,30,0.0504112783308496,2.0
cv,deephit,10.0,ici_concordant,0.347576151568944,249.08899875813492,30,0.0011626455867389,46.0,0.0825477857355665,3868.284085929857,30,0.0010411145808759,5.0
cv,deephit,10.0,e50_concordant,0.301739721633415,327.9179839371154,30,0.0006595262769913,36.0,0.0539829410714209,7984.6255619730355,30,0.000682656716454,3.0
cv,deephit,10.0,e90_concordant,0.2851818811591465,365.95446224843175,30,0.0038305804259271,33.0,0.0809485760008397,4006.30379231812,30,0.003224765718723,5.0
cv,deephit,10.0,auc,0.0233580139191289,22959.386355462502,30,0.0055413002013735,2.0,0.0251237652442992,21490.9752889018,30,0.0055322994278315,2.0
cv,deephit,10.0,cindex,0.0307069147764749,17439.41438711703,30,0.0058715494150455,2.0,0.0224127178512745,23781.471842729155,30,0.0058044369408606,2.0
cv,deephit,10.0,auc_marginal_ipcw,0.0215968211138866,24510.32123424002,30,0.0056028831904182,2.0,0.0221786125808698,23988.8076424994,30,0.005594866127039,2.0
cv,deephit,10.0,cindex_marginal_ipcw,0.0178294283700935,28077.14405828813,30,0.0054439008612943,2.0,0.0205204014489015,25497.75909998265,30,0.0054428741405301,2.0
cv,deephit,10.0,at_risk_fraction,4.860149189361204e-05,41148.00014579739,30,0.0023999912885427,2.0,4.860149189361204e-05,41148.00014579739,30,0.0023999912885427,2.0
cv,deephit,10.0,nb_at_0.01,0.0045175377058654,39841.03444593724,30,0.0010978440340103,2.0,0.0032011538624672,40449.99490615635,30,0.0011002329610839,2.0
cv,deephit,10.0,nb_at_0.02,0.005516240546237,39267.95739904489,30,0.0010739750129343,2.0,0.0044315701814526,39886.0385004707,30,0.0010815188989645,2.0
cv,deephit,10.0,nb_at_0.03,0.0137927614344498,32111.231950511374,30,0.001053495748647,2.0,0.0064297927549814,38667.86322880758,30,0.0010604361633787,2.0
cv,deephit,10.0,nb_at_0.05,0.0222646795843458,23912.41240817861,30,0.0010046350086236,2.0,0.0103819689220862,35420.18448882896,30,0.0010114296006308,2.0
cv,deephit,10.0,nb_at_0.075,0.026599285900632,20332.9229177819,30,0.000936284383044,2.0,0.0200549420730484,25933.29548952966,30,0.0009485769628671,2.0
cv,deephit,10.0,nb_at_0.2,0.212641972506594,647.1841473316196,30,0.0004233611485221,21.0,0.1703605335783765,993.479583824536,30,0.000434664742054,14.0
cv,deephit,10.0,frac_above_0.01,0.968856012682138,34.28207516435004,30,0.0082182528974768,194.0,0.6176061913937135,81.78413263952578,30,0.0038367431886675,108.0
cv,deephit,10.0,frac_above_0.02,0.9403156939876364,36.359446192095206,30,0.0073613791708499,187.0,0.5406232092884283,105.7607781196371,30,0.0036375383079518,89.0
cv,deephit,10.0,frac_above_0.03,0.9059076967995544,39.093180188320325,30,0.0062543704991132,179.0,0.5596191837524175,98.93212767976468,30,0.0035587354474481,94.0
cv,deephit,10.0,frac_above_0.05,0.8892102641354619,40.52625108882226,30,0.0054398504232171,175.0,0.4278233229283757,166.40172545018956,30,0.002887185136992,63.0
cv,deephit,10.0,frac_above_0.075,0.9153506689631704,38.31492587986004,30,0.0052844028072988,181.0,0.4965414323621013,124.67741444598364,30,0.0027648286221859,79.0
cv,deephit,10.0,frac_above_0.2,0.966806180207343,34.42641812160593,30,0.0021612908971805,193.0,0.7622208398982371,54.53363546016804,30,0.001296453579518,143.0
