model,config,protocol,seed,imp,seed_used,horizon,cfg,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,default,temporal_test,3,1,20814914,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.056845066995679754,0.03296079030764276,1.724626942045708,-0.5194315620147246,1.205661422816382,0.023916457142622638,0.013963321909506776,0.0621547241186278,0.8283678597168194,0.8277707734289619,0.7793975774466717,0.03194098260206798
deephit,default,temporal_test,2,1,20814577,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.058119009226703676,0.03296079030764276,1.7632771752207461,-0.5480938892518917,1.1707396019802996,0.02534096448931825,0.01589100961064671,0.06509575491744622,0.8179122017181499,0.8187025420053932,0.7793975774466717,0.0321731983161732
deephit,tuned_brier,temporal_test,2,1,20814577,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.04600238883511388,0.03296079030764276,1.3956700796839543,-0.4593575736599273,0.8213323306709788,0.013141995291885956,0.001301868241047055,0.049382687852017985,0.8263207754897888,0.8265292229227336,0.7793975774466717,0.03157569314916987
deephit,tuned_cindex,temporal_test,10,1,20817273,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06494963552462098,0.03296079030764276,1.9705120817312691,-0.7279996665030217,1.0035211038171818,0.03201472137716887,0.011924930227397601,0.10019208261850684,0.8259114930920743,0.8258135406016042,0.7793975774466717,0.03349947720271818
deephit,tuned_brier,temporal_test,11,1,20817610,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.04731425373707756,0.03296079030764276,1.4354708517443102,-0.5018050624572687,0.7971357218679348,0.014310901537988132,0.0006974787173777974,0.06003127627854339,0.8273978836256948,0.8269936642787026,0.7793975774466717,0.03184535459882794
deephit,tuned_brier,temporal_test,10,1,20817273,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.04341873468251703,0.03296079030764276,1.3172843938893462,-0.39174045122764306,0.8339474030739897,0.011135294217953106,0.0008730170108051105,0.04408271866430489,0.824781861567191,0.8248925510887509,0.7793975774466717,0.03143166668061108
deephit,tuned_brier,temporal_test,1,1,20814240,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.047491003398431125,0.03296079030764276,1.4408332735704816,-0.40637728925739247,1.0362216338754617,0.01533608776864809,0.004864701565895135,0.049844318987389676,0.8244461908460854,0.8237539904195956,0.7793975774466717,0.03143766967926417
deephit,tuned_brier,temporal_test,0,1,20813903,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.04625096444225104,0.03296079030764276,1.403211634507642,-0.40178051945863064,0.899395329699121,0.013532223861199165,0.004178538430987477,0.043277033618246516,0.8223866303294546,0.8220288146067353,0.7793975774466717,0.03142438427300534
deephit,default,temporal_test,1,1,20814240,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.05515811450285148,0.03296079030764276,1.6734463581736911,-0.4617534121650249,1.438738955234044,0.02277007564946695,0.016065208163151046,0.05270304444947334,0.8293694189057571,0.8292550587029558,0.7793975774466717,0.031666027335003476
deephit,default,temporal_test,9,1,20816936,10.0,"{""alpha"": 0.2, ""batch_size"": 256, ""dropout"": 0.1, ""head"": [32], ""lr"": 0.01, ""num_durations"": 40, ""sigma"": 0.1, ""trunk"": [64, 64]}",0.06327171686381541,0.03296079030764276,1.9196055759968937,-0.5860121843694988,1.427108069650771,0.030280792094625242,0.023747387248069685,0.06855453032445019,0.8249594584398544,0.8240821430713997,0.7793975774466717,0.03241153234520707
deephit,tuned_brier,temporal_test,8,1,20816599,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.045638689614349325,0.03296079030764276,1.384635780525168,-0.36036708761018277,0.9627419759240153,0.012690303211940342,0.004454964705183029,0.039799155295383526,0.8242668299125893,0.8239595164545642,0.7793975774466717,0.031238104847031063
deephit,tuned_cindex,temporal_test,1,1,20814240,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.0634780050376683,0.03296079030764276,1.9258641690684637,-0.7406710209241854,0.9395186942950436,0.030556105599705355,0.00814842310708519,0.09956958678528513,0.8258598787328625,0.8253535323225506,0.7793975774466717,0.0335373325912324
deephit,tuned_brier,temporal_test,6,1,20815925,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.045611153024205466,0.03296079030764276,1.3838003457589854,-0.4299903559319418,0.8549365684028591,0.01268682002310277,0.0018427856720755198,0.046255885953693426,0.8189809225994064,0.8187586650381349,0.7793975774466717,0.03158310483230001
deephit,tuned_brier,temporal_test,3,1,20814914,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.04610648415794305,0.03296079030764276,1.3988282358403323,-0.3988390644863671,0.8814040896218496,0.013252269849080888,0.0037524348223885173,0.04406058656699572,0.8269167727963735,0.8258561745856754,0.7793975774466717,0.03138579239441773
deephit,tuned_cindex,temporal_test,6,1,20815925,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06364810975590997,0.03296079030764276,1.9310249894448557,-0.7749652739384387,0.8710084050190808,0.030637349062244832,0.0072806161735125,0.10471066381338431,0.8262666408346019,0.8259608245984841,0.7793975774466717,0.03390134464272862
deephit,tuned_cindex,temporal_test,2,1,20814577,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06610563043485448,0.03296079030764276,2.0055839018983197,-0.8558752920772413,0.8444594441541764,0.03326975771965516,0.005838601315746206,0.12567091102369196,0.8243203287187277,0.8244407027859022,0.7793975774466717,0.03484830131148496
deephit,tuned_cindex,temporal_test,0,1,20813903,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06148764448449552,0.03296079030764276,1.865478464278149,-0.723054284691592,0.9240016626006408,0.028640145019300903,0.0063347388350525335,0.10101447332302656,0.8261606155354168,0.8253426107352941,0.7793975774466717,0.03337882064792773
deephit,tuned_cindex,temporal_test,9,1,20816936,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06120683458206464,0.03296079030764276,1.8569589506436182,-0.66983082173293,1.0168014014518225,0.028278465442639178,0.009479449725681266,0.08947218545171692,0.8275657350969081,0.8268308594600077,0.7793975774466717,0.03288841615890761
deephit,tuned_cindex,temporal_test,4,1,20815251,10.0,"{""alpha"": 0.2, ""batch_size"": 512, ""dropout"": 0.4, ""head"": [64], ""lr"": 0.003, ""num_durations"": 40, ""sigma"": 0.25, ""trunk"": [128, 128]}",0.06422190240667912,0.03296079030764276,1.9484333296397842,-0.7353929132221458,1.0154242564197926,0.03149237440946197,0.009285667572451861,0.10419886671513878,0.825362393495686,0.8252626393889659,0.7793975774466717,0.03356018766487674
deephit,tuned_brier,temporal_test,9,1,20816936,10.0,"{""alpha"": 0.9, ""batch_size"": 512, ""dropout"": 0.2, ""head"": [32, 32], ""lr"": 0.01, ""num_durations"": 20, ""sigma"": 0.1, ""trunk"": [128, 128]}",0.045265809002123465,0.03296079030764276,1.3733229264113695,-0.36659645374247046,0.9344323052992553,0.012669469558507947,0.004740999457891415,0.038529299101358654,0.8216966602731435,0.821520484522467,0.7793975774466717,0.03127113761345871
