part,model,split,imp,rep,fold,secs,status,seed_used,mean_risk10,n_epochs
deephit__cvr2f0__imp6,deephit,cv,6,2,0,71.4,fitted,20267103,0.04087490440192538,19
deephit__cvr0f4__imp6,deephit,cv,6,0,4,74.4,fitted,20266907,0.03759136685197271,18
deephit__cvr1f3__imp5,deephit,cv,5,1,3,101.1,fitted,20266006,0.037691690392987025,27
deephit__cvr1f1__imp6,deephit,cv,6,1,1,77.7,fitted,20267004,0.038734410289958,21
deephit__cvr0f0__imp6,deephit,cv,6,0,0,83.8,fitted,20266903,0.038700877584966535,23
deephit__cvr0f3__imp6,deephit,cv,6,0,3,84.5,fitted,20266906,0.03970382659536778,22
deephit__cvr0f1__imp7,deephit,cv,7,0,1,66.0,fitted,20267904,0.039384652255141865,15
deephit__cvr0f2__imp6,deephit,cv,6,0,2,89.0,fitted,20266905,0.03802031691202456,17
deephit__cvr1f0__imp7,deephit,cv,7,1,0,68.3,fitted,20268003,0.0397261749677032,17
deephit__cvr0f3__imp7,deephit,cv,7,0,3,72.5,fitted,20267906,0.03774839140258803,19
deephit__cvr2f4__imp5,deephit,cv,5,2,4,113.9,fitted,20266107,0.03965523566896298,25
deephit__cvr2f2__imp6,deephit,cv,6,2,2,91.4,fitted,20267105,0.03848485604530689,19
deephit__cvr1f2__imp6,deephit,cv,6,1,2,95.1,fitted,20267005,0.034425536360910274,21
deephit__cvr0f0__imp7,deephit,cv,7,0,0,79.2,fitted,20267903,0.038030434978462105,17
deephit__cvr0f4__imp7,deephit,cv,7,0,4,77.1,fitted,20267907,0.04082407270864268,20
deephit__cvr2f3__imp7,deephit,cv,7,2,3,64.6,fitted,20268106,0.03707171547809716,17
deephit__cvr2f1__imp7,deephit,cv,7,2,1,73.5,fitted,20268104,0.038811448650636085,19
deephit__cvr2f4__imp7,deephit,cv,7,2,4,64.4,fitted,20268107,0.04254921298705761,17
deephit__cvr1f2__imp7,deephit,cv,7,1,2,79.2,fitted,20268005,0.037149227038566976,16
deephit__cvr1f3__imp7,deephit,cv,7,1,3,78.2,fitted,20268006,0.038806963336321235,16
deephit__cvr2f3__imp6,deephit,cv,6,2,3,96.7,fitted,20267106,0.03843288481953671,23
deephit__cvr2f0__imp7,deephit,cv,7,2,0,80.1,fitted,20268103,0.0385748863014759,17
deephit__cvr2f2__imp7,deephit,cv,7,2,2,87.4,fitted,20268105,0.04088965365140938,18
deephit__cvr1f4__imp7,deephit,cv,7,1,4,92.8,fitted,20268007,0.0423509908314903,20
deephit__cvr0f2__imp7,deephit,cv,7,0,2,113.7,fitted,20267905,0.041705497697454685,23
deephit__cvr0f3__imp8,deephit,cv,8,0,3,53.2,fitted,20268906,0.036734289230343005,13
deephit__cvr0f4__imp8,deephit,cv,8,0,4,59.8,fitted,20268907,0.03698868959517456,16
deephit__cvr2f3__imp8,deephit,cv,8,2,3,48.5,fitted,20269106,0.041572045248321476,14
deephit__cvr1f2__imp8,deephit,cv,8,1,2,54.4,fitted,20269005,0.042428631690964676,14
deephit__cvr1f0__imp8,deephit,cv,8,1,0,60.6,fitted,20269003,0.03712081392397245,15
deephit__cvr1f3__imp8,deephit,cv,8,1,3,55.0,fitted,20269006,0.03995269380743676,14
deephit__cvr1f4__imp8,deephit,cv,8,1,4,55.2,fitted,20269007,0.03791162147782198,14
deephit__cvr2f1__imp8,deephit,cv,8,2,1,57.2,fitted,20269104,0.03772398349263319,14
deephit__cvr2f2__imp8,deephit,cv,8,2,2,59.6,fitted,20269105,0.043103990937864343,16
deephit__cvr0f0__imp8,deephit,cv,8,0,0,85.9,fitted,20268903,0.039026564866646324,23
deephit__cvr0f1__imp8,deephit,cv,8,0,1,86.4,fitted,20268904,0.04171958750442968,20
deephit__cvr2f4__imp8,deephit,cv,8,2,4,68.1,fitted,20269107,0.042905244320173966,18
deephit__cvr0f2__imp8,deephit,cv,8,0,2,88.0,fitted,20268905,0.036434110398532844,23
deephit__cvr1f1__imp8,deephit,cv,8,1,1,83.5,fitted,20269004,0.04546814810689825,21
deephit__cvr2f0__imp8,deephit,cv,8,2,0,82.7,fitted,20269103,0.03953863302105112,23
deephit__cvr0f2__imp9,deephit,cv,9,0,2,66.5,fitted,20269905,0.03561338981906459,18
deephit__cvr0f0__imp9,deephit,cv,9,0,0,71.7,fitted,20269903,0.043734320919050516,19
deephit__cvr0f4__imp9,deephit,cv,9,0,4,61.6,fitted,20269907,0.04245718276848822,17
deephit__cvr0f1__imp9,deephit,cv,9,0,1,80.5,fitted,20269904,0.03774005677705286,22
deephit__cvr1f1__imp9,deephit,cv,9,1,1,64.8,fitted,20270004,0.04154443182881695,16
deephit__cvr1f0__imp9,deephit,cv,9,1,0,71.8,fitted,20270003,0.03550105425501564,20
deephit__cvr1f2__imp9,deephit,cv,9,1,2,70.4,fitted,20270005,0.03950979589341001,18
nfg__cvr0f3__imp3,nfg,cv,3,0,3,390.6,fitted,20263906,0.03974634919716147,158
deephit__cvr0f3__imp9,deephit,cv,9,0,3,90.1,fitted,20269906,0.0426787893425747,19
nfg__cvr2f3__imp3,nfg,cv,3,2,3,414.4,fitted,20264106,0.03340581985409235,176
deephit__cvr2f0__imp9,deephit,cv,9,2,0,54.8,fitted,20270103,0.04156653661451653,16
deephit__cvr1f3__imp9,deephit,cv,9,1,3,58.5,fitted,20270006,0.043227196789850354,16
nfg__cvr2f4__imp3,nfg,cv,3,2,4,435.7,fitted,20264107,0.03621728374361341,199
nfg__cvr2f1__imp4,nfg,cv,4,2,1,435.9,fitted,20265104,0.040459988209051716,199
deephit__cvr1f4__imp9,deephit,cv,9,1,4,72.4,fitted,20270007,0.04144893910911595,17
nfg__cvr1f2__imp2,nfg,cv,2,1,2,438.4,fitted,20263005,0.03392370565970196,199
nfg__cvr0f3__imp2,nfg,cv,2,0,3,439.5,fitted,20262906,0.039200055945938006,199
nfg__cvr2f2__imp2,nfg,cv,2,2,2,440.5,fitted,20263105,0.04527122055677352,199
nfg__cvr0f4__imp1,nfg,cv,1,0,4,443.1,fitted,20261907,0.03662402640396006,199
nfg__cvr0f2__imp2,nfg,cv,2,0,2,444.3,fitted,20262905,0.03625254685987775,199
nfg__cvr2f2__imp1,nfg,cv,1,2,2,445.0,fitted,20262105,0.03600396219996684,199
nfg__cvr2f1__imp2,nfg,cv,2,2,1,445.7,fitted,20263104,0.04058161915312194,199
deephit__cvr2f2__imp9,deephit,cv,9,2,2,70.7,fitted,20270105,0.039145890690835586,17
nfg__cvr1f2__imp3,nfg,cv,3,1,2,448.0,fitted,20264005,0.03493702315438021,199
nfg__cvr2f0__imp3,nfg,cv,3,2,0,448.6,fitted,20264103,0.03816311459706656,199
nfg__cvr1f4__imp3,nfg,cv,3,1,4,449.3,fitted,20264007,0.03986079926805376,199
deephit__cvr2f3__imp9,deephit,cv,9,2,3,72.1,fitted,20270106,0.039446109291050094,20
nfg__cvr1f0__imp3,nfg,cv,3,1,0,450.9,fitted,20264003,0.03371355034754577,199
nfg__cvr1f3__imp1,nfg,cv,1,1,3,450.9,fitted,20262006,0.03867287709926213,199
nfg__cvr0f2__imp1,nfg,cv,1,0,2,451.1,fitted,20261905,0.03577728663079273,199
nfg__cvr2f1__imp1,nfg,cv,1,2,1,452.4,fitted,20262104,0.03595494124200181,199
nfg__cvr0f1__imp4,nfg,cv,4,0,1,453.5,fitted,20264904,0.03465464859510865,199
nfg__cvr0f1__imp3,nfg,cv,3,0,1,453.9,fitted,20263904,0.03942585419635112,199
nfg__cvr0f3__imp1,nfg,cv,1,0,3,454.2,fitted,20261906,0.0331801476506883,199
nfg__cvr2f0__imp1,nfg,cv,1,2,0,455.5,fitted,20262103,0.03435665828302639,199
nfg__cvr0f0__imp3,nfg,cv,3,0,0,455.6,fitted,20263903,0.03706081037461619,199
nfg__cvr1f1__imp3,nfg,cv,3,1,1,456.5,fitted,20264004,0.037988017871065816,199
nfg__cvr1f1__imp1,nfg,cv,1,1,1,458.7,fitted,20262004,0.03546396251534476,199
nfg__cvr1f2__imp1,nfg,cv,1,1,2,459.4,fitted,20262005,0.03213258915962254,199
nfg__cvr2f3__imp4,nfg,cv,4,2,3,461.3,fitted,20265106,0.037548574721613756,199
nfg__cvr1f3__imp3,nfg,cv,3,1,3,462.6,fitted,20264006,0.04076867409529719,199
nfg__cvr2f2__imp3,nfg,cv,3,2,2,463.5,fitted,20264105,0.032474200089988414,199
nfg__cvr2f4__imp1,nfg,cv,1,2,4,466.1,fitted,20262107,0.038509766296502,199
nfg__cvr1f2__imp6,nfg,cv,6,1,2,315.9,fitted,20267005,0.03536625001293643,138
nfg__cvr1f2__imp4,nfg,cv,4,1,2,466.8,fitted,20265005,0.0330646616181079,199
nfg__cvr1f0__imp4,nfg,cv,4,1,0,466.9,fitted,20265003,0.03357155961728179,199
nfg__cvr2f4__imp4,nfg,cv,4,2,4,467.2,fitted,20265107,0.03903742882038124,199
deephit__cvr2f4__imp9,deephit,cv,9,2,4,79.1,fitted,20270107,0.0408006627968139,22
nfg__cvr1f3__imp4,nfg,cv,4,1,3,467.4,fitted,20265006,0.04060449675321882,199
nfg__cvr2f2__imp4,nfg,cv,4,2,2,467.4,fitted,20265105,0.03646801151168593,199
nfg__cvr0f4__imp4,nfg,cv,4,0,4,467.5,fitted,20264907,0.03804443661071475,199
nfg__cvr2f0__imp2,nfg,cv,2,2,0,468.9,fitted,20263103,0.04058069813729731,199
deephit__cvr2f1__imp9,deephit,cv,9,2,1,94.7,fitted,20270104,0.04063002154882242,26
nfg__cvr0f2__imp3,nfg,cv,3,0,2,469.9,fitted,20263905,0.03650093448399533,199
nfg__cvr2f3__imp2,nfg,cv,2,2,3,471.1,fitted,20263106,0.03847604036127895,199
nfg__cvr1f1__imp4,nfg,cv,4,1,1,472.5,fitted,20265004,0.037053602218561195,199
nfg__cvr0f0__imp1,nfg,cv,1,0,0,473.7,fitted,20261903,0.03232135898437263,199
nfg__cvr1f4__imp2,nfg,cv,2,1,4,474.4,fitted,20263007,0.03737793842876169,199
nfg__cvr1f0__imp2,nfg,cv,2,1,0,475.5,fitted,20263003,0.036480717415481825,199
nfg__cvr1f0__imp1,nfg,cv,1,1,0,477.1,fitted,20262003,0.03312998393720426,199
nfg__cvr0f4__imp2,nfg,cv,2,0,4,478.0,fitted,20262907,0.03813135953240722,199
nfg__cvr1f4__imp4,nfg,cv,4,1,4,479.4,fitted,20265007,0.033551005741642395,199
nfg__cvr2f4__imp2,nfg,cv,2,2,4,484.6,fitted,20263107,0.03264587278375882,199
nfg__cvr2f0__imp4,nfg,cv,4,2,0,485.6,fitted,20265103,0.039897282820416026,199
nfg__cvr2f1__imp3,nfg,cv,3,2,1,486.0,fitted,20264104,0.033535913008555386,199
nfg__cvr1f3__imp2,nfg,cv,2,1,3,487.9,fitted,20263006,0.03996888938196605,199
nfg__cvr0f2__imp4,nfg,cv,4,0,2,488.8,fitted,20264905,0.03476146924912278,199
nfg__cvr0f0__imp4,nfg,cv,4,0,0,488.8,fitted,20264903,0.03638586912534729,199
nfg__cvr0f4__imp3,nfg,cv,3,0,4,489.6,fitted,20263907,0.036478032546968235,199
nfg__cvr1f1__imp2,nfg,cv,2,1,1,495.0,fitted,20263004,0.037301634227918705,199
nfg__cvr0f3__imp4,nfg,cv,4,0,3,496.5,fitted,20264906,0.03740416251659525,199
nfg__cvr0f0__imp2,nfg,cv,2,0,0,498.3,fitted,20262903,0.03963724114309854,199
nfg__cvr2f3__imp1,nfg,cv,1,2,3,500.1,fitted,20262106,0.041644193374241155,199
nfg__cvr0f1__imp2,nfg,cv,2,0,1,504.9,fitted,20262904,0.033671366747066944,199
nfg__cvr1f4__imp1,nfg,cv,1,1,4,518.0,fitted,20262007,0.03981369260917519,199
nfg__cvr0f1__imp1,nfg,cv,1,0,1,520.5,fitted,20261904,0.03494383006148951,199
nfg__cvr1f0__imp5,nfg,cv,5,1,0,407.7,fitted,20266003,0.0363750329835336,199
deephit__cvr1f0__imp10,deephit,cv,10,1,0,84.6,fitted,20271003,0.04577957065566051,16
deephit__cvr0f0__imp11,deephit,cv,11,0,0,66.2,fitted,20271903,0.035215201574390766,20
deephit__cvr2f0__imp10,deephit,cv,10,2,0,84.8,fitted,20271103,0.040347404884615266,17
deephit__cvr0f1__imp10,deephit,cv,10,0,1,91.0,fitted,20270904,0.03882147465667214,18
deephit__cvr0f3__imp10,deephit,cv,10,0,3,91.7,fitted,20270906,0.038227966419290015,17
