model,protocol,alpha_s,sigma_s,seed,imp,seed_used,horizon,n_eval,mean_pred,obs_cif,eo,calib_intercept,calib_slope,ici,e50,e90,auc,cindex,at_risk_fraction,brier
deephit,inner_oof,0.95,0.1,2,2,21048003,10.0,14551,0.043158115901789466,0.041509174627173406,1.0397247425280436,-0.014647600748943706,0.9743735947578636,0.002612358659345389,0.0027023856209871244,0.003369017829156804,0.84107657798183,0.8344724486151701,1.0,0.03642234314557884
deephit,inner_oof,0.5,0.1,4,2,21048265,10.0,14551,0.050435699111649274,0.041509174627173406,1.2150494334000137,-0.16863617483881743,1.1708050740867189,0.009473784389317752,0.005409600022847183,0.023559032332306357,0.8400563960917323,0.833500646338001,1.0,0.03665828050190759
deephit,inner_oof,0.2,0.1,0,1,21039822,10.0,14551,0.06201824656696344,0.041509174627173406,1.4940852744964979,-0.33147607640236443,1.6685117116610702,0.02220215982700948,0.018154374717296196,0.04998437872864503,0.8389309196546814,0.8326338456582275,1.0,0.037365251453681955
deephit,inner_oof,0.05,0.1,3,3,21056053,10.0,14551,0.0819691855435029,0.041509174627173406,1.9747245345091229,-0.5527280258308765,2.053768459116693,0.040433082113018395,0.04445260323434741,0.07685261562970103,0.841335006650057,0.834768277686748,1.0,0.039020931708559387
deephit,inner_oof,0.05,0.1,2,2,21048003,10.0,14551,0.07570906223269891,0.041509174627173406,1.8239115307086116,-0.47935092191972134,2.002686353459019,0.03501636513944665,0.0382946156711268,0.06686850083207257,0.8364702680013314,0.8300071786924971,1.0,0.038455444144328055
deephit,inner_oof,0.85,0.1,4,2,21048265,10.0,14551,0.045298095522469266,0.041509174627173406,1.0912791191182947,-0.07878489523112217,0.9888606092650584,0.0034441409137579817,0.0017577868259874632,0.008912232774752726,0.8390838163587128,0.8326171685921221,1.0,0.036487454269413175
deephit,inner_oof,0.5,0.1,3,3,21056053,10.0,14551,0.04754567749692215,0.041509174627173406,1.1454257504266787,-0.10136567277016556,1.1614233414607305,0.006472860630465095,0.0037576236380470075,0.01636678792987123,0.8416386633029391,0.8352369206767843,1.0,0.036421187857091725
deephit,inner_oof,0.5,0.1,2,2,21048003,10.0,14551,0.05085747456625678,0.041509174627173406,1.2252104510158974,-0.16773326202467007,1.246804601649411,0.010417262381384056,0.0060875429513035095,0.025987554256051593,0.8398123311666635,0.8333463689494646,1.0,0.036572451562117594
deephit,inner_oof,0.3,0.1,3,2,21048134,10.0,14551,0.05614836823237438,0.041509174627173406,1.3526736856776147,-0.24800065829502926,1.351785398528361,0.015188917177876182,0.011064567260978486,0.03541901000424297,0.8367185470824507,0.8303070172329295,1.0,0.03698417187411146
deephit,inner_oof,0.3,0.1,4,2,21048265,10.0,14551,0.054110582337186436,0.041509174627173406,1.3035812642192044,-0.20316325731101723,1.3706985472592996,0.013505319476169887,0.009796681261165237,0.03164297975920302,0.8401829394818701,0.833829655217057,1.0,0.03672422856945079
deephit,inner_oof,0,0.1,1,3,21055791,10.0,14551,0.1895067914412036,0.041509174627173406,4.565419407716809,-1.396546601963909,3.129203766760943,0.14787131552133018,0.1656468906094979,0.2066676542131063,0.8317393139686334,0.8254511436922746,1.0,0.061967515891719324
deephit,inner_oof,0,0.1,0,2,21047741,10.0,14551,0.19797336280452826,0.041509174627173406,4.769388083060744,-1.4465830330170408,3.405871990299392,0.15670915159993076,0.17467956802582651,0.21484449444373566,0.8305771565676494,0.8241657893290253,1.0,0.06462246890664392
deephit,inner_oof,0.7,0.1,2,3,21055922,10.0,14551,0.04770585726094312,0.041509174627173406,1.149284650668846,-0.10336188648697392,1.0689515450416094,0.006000167119325032,0.004351136000785294,0.013650213514184162,0.8394949043137289,0.8331557158000151,1.0,0.03644139775948763
deephit,inner_oof,0.1,0.1,4,2,21048265,10.0,14551,0.07166901369209525,0.041509174627173406,1.7265824805193337,-0.45474473966488427,2.101139551738302,0.03251981567987199,0.028849421943943132,0.06937817224492293,0.8387765984471963,0.8323608531266478,1.0,0.03815652150254174
deephit,inner_oof,0.7,0.1,1,3,21055791,10.0,14551,0.04575525355989458,0.041509174627173406,1.102292540645738,-0.07413529062287849,0.9864913748729327,0.004106776543666407,0.0032649877005213046,0.007280056487252995,0.8424108628834704,0.8360119103306115,1.0,0.03643681793555923
deephit,inner_oof,0.5,0.1,1,1,21039953,10.0,14551,0.05030548997028143,0.041509174627173406,1.2119125572145113,-0.18724097699872705,1.0925417421747576,0.009182621558525709,0.0034488353767792787,0.026459834704508856,0.838223653689915,0.831778666627308,1.0,0.03666258218916215
deephit,inner_oof,0.1,0.1,0,1,21039822,10.0,14551,0.07599541160270093,0.041509174627173406,1.8308099904485113,-0.5091352258773467,1.963902171579083,0.03579104798230951,0.03511334820542733,0.07346274991960422,0.8368079346741709,0.8304768095226861,1.0,0.03860029666530036
deephit,inner_oof,0.3,0.1,4,3,21056184,10.0,14551,0.053496208404228814,0.041509174627173406,1.2887803451820086,-0.18891630085210848,1.3456092263123456,0.012550626340375045,0.009798916958757675,0.02874981889744721,0.8374496734800667,0.8311843936131602,1.0,0.03677889777340928
