model,protocol,alpha,sigma,n_rep,eo_median,eo_p10,eo_p90,ici_median,ici_p10,ici_p90,calib_slope_median,calib_slope_p10,calib_slope_p90,cindex_median,cindex_p10,cindex_p90,auc_median,auc_p10,auc_p90,brier_median,brier_p10,brier_p90
deephit,inner_oof,0.85,0.1,15,1.1227844069297088,1.0775935174751596,1.1834696043135524,0.0048178651915138,0.00310450263771496,0.00737948125601006,1.0312940519950669,0.9593406275003717,1.092814020435153,0.8326171685921221,0.8290785857057671,0.8344970284024963,0.8390838163587128,0.8354161947998976,0.8411052342429738,0.0364893636127183,0.03633292729878394,0.03652669171611112
deephit,inner_oof,0.95,0.1,15,1.075700142396471,1.0377693445851695,1.1269475850475903,0.0036037012223836,0.00197581900552484,0.00508172362129228,0.9743735947578636,0.9101266452444137,1.0332174399440046,0.83134238992933,0.828709319435081,0.8344322841967308,0.8378677652437302,0.8350668353278755,0.8409767677731735,0.0364991316693908,0.0363683716011528,0.03660485674343752
deephit,inner_oof,1.0,0.1,30,1.0668974750073208,1.014151699745535,1.118101029555807,0.0036033088776863,0.0017733374824943,0.0050829288355498,1.014567019765638,0.9268734852861774,1.0410773509356892,0.8333858244473238,0.8285537752868194,0.8346886693920983,0.8397807546734397,0.8349475331636275,0.8412135677306283,0.0365025119444999,0.0363053211937387,0.0366665821049181
deephit,inner_oof,0.0,0.25,30,4.93943756970253,4.831767723688416,5.042221831800266,0.1659720604557062,0.1607842417115159,0.1702837960388998,2.518750959107817,2.234851820992382,2.8000507683663005,0.826365302591128,0.8216749213301535,0.8296250588781785,0.8329867041595975,0.8279932260112431,0.8363436652568831,0.0841413648843186,0.0815365855796567,0.0859685630294554
deephit,inner_oof,0.2,0.25,15,1.47161321015042,1.4494546225850824,1.5207963865735936,0.0209363233840157,0.01915586206713354,0.0233320214456794,0.9575186385347492,0.9315453352863878,1.063590531155272,0.8332912823338967,0.829545752746399,0.8361584244577135,0.8398458069978257,0.8360214900591026,0.8428002034190932,0.0378201602338374,0.03762547419582862,0.03795313383714062
deephit,inner_oof,1.0,0.25,30,1.0668974750073208,1.014151699745535,1.118101029555807,0.0036033088776863,0.0017733374824943,0.0050829288355498,1.014567019765638,0.9268734852861774,1.0410773509356892,0.8333858244473238,0.8285537752868194,0.8346886693920983,0.8397807546734397,0.8349475331636275,0.8412135677306283,0.0365025119444999,0.0363053211937387,0.0366665821049181
deephit,inner_oof,0.0,0.5,30,4.025724419447871,3.799847642637202,4.164038106013444,0.1285412800552768,0.119191143648183,0.1348469333416856,1.2925221977274943,1.0228349804884562,1.5504676638226034,0.8054473224941313,0.7968001765560894,0.8121329084303557,0.812315140999726,0.8033258713094084,0.8189218693094055,0.0754595721715275,0.0700479173634255,0.0765964892399331
deephit,inner_oof,0.2,0.5,15,1.229812348577771,1.1807682310919383,1.2875490753659053,0.0094018728986623,0.00751502364764714,0.01167520851557458,0.8595880534044419,0.8358693044652271,0.9350383827439328,0.8316318852022824,0.8293689293590858,0.8348251191712928,0.8383135161161198,0.8358711337195637,0.8414523857346425,0.036947239462063,0.036681624161220464,0.03727548972348292
deephit,inner_oof,1.0,0.5,30,1.0668974750073208,1.014151699745535,1.118101029555807,0.0036033088776863,0.0017733374824943,0.0050829288355498,1.014567019765638,0.9268734852861774,1.0410773509356892,0.8333858244473238,0.8285537752868194,0.8346886693920983,0.8397807546734397,0.8349475331636275,0.8412135677306283,0.0365025119444999,0.0363053211937387,0.0366665821049181
deephit,temporal_test,0.0,0.05,10,5.934113845546414,5.362584808713823,6.679498580741512,0.1631819392145634,0.1446178716012764,0.1886825663652425,7.136968293580631,5.718419642217147,8.712547964851222,0.8219012650458882,0.8184414232015489,0.8229231847754928,0.8217636255133542,0.8186333640236116,0.8236568709970651,0.0584740020034876,0.0520350904693797,0.0665415402597107
