panel_group,metric,contrast,label,x,est,lo,hi,ci_excludes_zero,units,split,horizon_y
frac_above,frac_above_0.05,nfg,Neural Fine-Gray,0.05,23.60339552164077,,,False,% of sample,cv,10
frac_above,frac_above_0.075,logistic,"Binomial, naive",0.075,24.60966249306996,,,False,% of sample,cv,10
frac_above,frac_above_0.075,cox_naive,"Cox, naive",0.075,17.95142004887263,,,False,% of sample,cv,10
frac_above,frac_above_0.075,rsf_naive,"RSF, naive",0.075,19.45938939849535,,,False,% of sample,cv,10
frac_above,frac_above_0.075,gbs_naive,"Gradient boosting, naive",0.075,17.615880817174908,,,False,% of sample,cv,10
frac_above,frac_above_0.075,logistic_cr,"Binomial, competing",0.075,19.7526183227698,,,False,% of sample,cv,10
frac_above,frac_above_0.075,csc_cox,Cause-specific Cox,0.075,15.927735020716979,,,False,% of sample,cv,10
frac_above,frac_above_0.075,fine_gray,Fine-Gray,0.075,15.40688902139663,,,False,% of sample,cv,10
frac_above,frac_above_0.075,rsf_cr,"RSF, competing",0.075,17.48082275191942,,,False,% of sample,cv,10
frac_above,frac_above_0.075,deephit,DeepHit,0.075,19.66861868898073,,,False,% of sample,cv,10
frac_above,frac_above_0.075,nfg,Neural Fine-Gray,0.075,17.13415915767351,,,False,% of sample,cv,10
frac_above,frac_above_0.2,logistic,"Binomial, naive",0.2,8.16135150690873,,,False,% of sample,cv,10
frac_above,frac_above_0.2,cox_naive,"Cox, naive",0.2,3.59702343742052,,,False,% of sample,cv,10
frac_above,frac_above_0.2,rsf_naive,"RSF, naive",0.2,4.29161977022886,,,False,% of sample,cv,10
frac_above,frac_above_0.2,gbs_naive,"Gradient boosting, naive",0.2,4.60968952625989,,,False,% of sample,cv,10
frac_above,frac_above_0.2,logistic_cr,"Binomial, competing",0.2,3.3957322314381604,,,False,% of sample,cv,10
frac_above,frac_above_0.2,csc_cox,Cause-specific Cox,0.2,1.85549697528282,,,False,% of sample,cv,10
frac_above,frac_above_0.2,fine_gray,Fine-Gray,0.2,1.56931517024834,,,False,% of sample,cv,10
frac_above,frac_above_0.2,rsf_cr,"RSF, competing",0.2,1.58983579215904,,,False,% of sample,cv,10
frac_above,frac_above_0.2,deephit,DeepHit,0.2,2.05543809259931,,,False,% of sample,cv,10
frac_above,frac_above_0.2,nfg,Neural Fine-Gray,0.2,1.56275397787491,,,False,% of sample,cv,10
