panel,metric,split,model,family,est,lo,hi,learner_matched,horizon_y
Truncated IPCW concordance,cindex,cv,cox_naive,naive,0.8290553510189056,0.816957651078701,0.8417990311980248,,10
Truncated IPCW concordance,cindex,cv,rsf_naive,naive,0.8316096862157186,0.8199090108275413,0.8434178307652473,,10
Truncated IPCW concordance,cindex,cv,gbs_naive,naive,0.8327615638573964,0.8215720474720001,0.8441038399934768,,10
Truncated IPCW concordance,cindex,cv,logistic_cr,competing,0.8302176912625631,0.8178697004914284,0.8431373968720436,,10
Truncated IPCW concordance,cindex,cv,csc_cox,competing,0.8289622147878011,0.816745039820671,0.8419132515788078,,10
Truncated IPCW concordance,cindex,cv,fine_gray,competing,0.827849543094635,0.815894465148449,0.8405942544341087,,10
Truncated IPCW concordance,cindex,cv,rsf_cr,competing,0.8304589748382568,0.8182772442698478,0.842734245955944,,10
Truncated IPCW concordance,cindex,cv,deephit,competing,0.8376771489779155,0.8265561982989311,0.8493988275527954,,10
Truncated IPCW concordance,cindex,cv,nfg,competing,0.8362648169199626,0.8251745641231537,0.8476786583662033,,10
C,auc,temporal,cox_naive - csc_cox,contrast,0.0001504441102345,-0.0004764825105667,0.00076604783535,True,10
C,auc,temporal,rsf_naive - rsf_cr,contrast,0.0016289313634236,-0.0015406712889671,0.0048874661326408,True,10
C,auc,temporal,logistic - logistic_cr,contrast,-0.000262705485026,-0.0016882434487342,0.0011535361409187,True,10
C,auc,temporal,cox_naive - fine_gray,contrast,0.0003031412760416,-0.0015969365835189,0.0022507384419441,False,10
C,auc,temporal,gbs_naive - deephit,contrast,-0.0049573818842569,-0.0122410953044891,0.0021335110068321,False,10
C,cindex,temporal,cox_naive - csc_cox,contrast,0.0001721541086832,-0.0004266530275344,0.0007608577609062,True,10
C,cindex,temporal,rsf_naive - rsf_cr,contrast,0.0015541573365529,-0.0014423310756683,0.0046399295330047,True,10
C,cindex,temporal,logistic - logistic_cr,contrast,-0.0002473096052805,-0.0016042098402976,0.0010971501469612,True,10
C,cindex,temporal,cox_naive - fine_gray,contrast,0.0004549880822499,-0.0013526678085327,0.0023190408945083,False,10
C,cindex,temporal,gbs_naive - deephit,contrast,-0.004609857002894,-0.0116250962018966,0.0022376030683517,False,10
