panel,quantity,horizon_y,est,lo,hi,units
B,overlay:nhanes_stratum:male age 50-59,15.0,1.0814575250488898,3.98328722435026,14.46689169357985,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 60-69,15.0,1.1643396994566997,11.21615447219278,25.670794237284078,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:male age 70-79,15.0,1.3805782114596743,22.70158813270205,44.378706247293806,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 4,15.0,1.025515909700221,1.28923704729937,4.91288884832954,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 5,15.0,1.036375644164819,2.19235214524489,6.88425509787501,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 6,15.0,1.057824882077578,2.77775729277606,10.625247202378189,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 7,15.0,1.0941316679781157,4.0535341505330305,16.45357246326219,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 8,15.0,1.1420563932620182,10.103204823923061,22.88820312907949,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 9,15.0,1.240271715222773,14.17777433488738,33.96909621285982,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_stratum:csc_cox decile 10,15.0,1.379970838644099,24.5348047824061,43.89031255442734,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_temporal_test_pooled:5 y pooled,5.0,1.0159586507454106,1.17341897233201,3.11264822134387,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_temporal_test_pooled:10 y pooled,10.0,1.0448563384333442,3.04181669881518,8.37200755357594,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,overlay:nhanes_temporal_test_pooled:15 y pooled,15.0,1.0670970638461073,4.39893270787632,12.1144115557774,est = pooled inflation; lo = F1 (%); hi = F2 (%)
B,external_check:Truchot 2025,,1.0505840580857644,14.000000000000002,9.0,est = pooled inflation from the identity; lo = F1 (%); hi = F2 (%); published KM/AJ ratio 1.0625
C,recovered_pooled,5.0,34.48352360369562,29.5904895933876,39.5137526881867,% of the observed difference recovered
C,recovered_per_subject,5.0,112.44375489947429,,,% of the observed difference recovered
C,heterogeneity_multiplier,5.0,3.2607965529202363,,,"ratio, per-subject to pooled"
C,recovered_pooled,10.0,32.035022453561645,28.786153653392198,34.9921487678855,% of the observed difference recovered
C,recovered_per_subject,10.0,104.23589264327235,,,% of the observed difference recovered
C,heterogeneity_multiplier,10.0,3.253810506746919,,,"ratio, per-subject to pooled"
C,recovered_pooled,15.0,30.69501657898813,28.1408448499472,32.9095481729056,% of the observed difference recovered
C,recovered_per_subject,15.0,99.10782059016412,,,% of the observed difference recovered
C,heterogeneity_multiplier,15.0,3.2287918898863563,,,"ratio, per-subject to pooled"
