panel,model,split,statistic,quantity,value,sd_seed,sd_imputation,sd_single_seed_run,n_seed,n_imp
B,deephit,cv,nb_at_0.03@15y,fmi,0.0073063513389934,0.0067611897952912,,,2.0,2.0
B,deephit,cv,nb_at_0.05@15y,fmi,0.0074122452733681,0.0103609708843405,,,2.0,2.0
B,deephit,cv,nb_at_0.075@15y,fmi,0.0103154045027416,0.0199898411483601,,,2.0,2.0
B,deephit,cv,nb_at_0.2@15y,fmi,0.0315938340578337,0.0387103328655706,,,2.0,2.0
B,deephit,cv,frac_above_0.01@15y,fmi,0.917340508363937,1.027789565163399,,,181.0,
B,deephit,cv,frac_above_0.02@15y,fmi,0.5286471709541654,0.9776663303198369,,,86.0,196.0
B,deephit,cv,frac_above_0.03@15y,fmi,0.4566533587888384,0.9693348917660964,,,69.0,194.0
B,deephit,cv,frac_above_0.05@15y,fmi,0.4344933403950776,0.9294106266382296,,,64.0,184.0
B,deephit,cv,frac_above_0.075@15y,fmi,0.465725627427097,0.8961938195890605,,,71.0,176.0
B,deephit,cv,frac_above_0.2@15y,fmi,0.6492192444136886,0.9533125350333196,,,115.0,190.0
B,deephit,cv,nb_all_at_0.01@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.02@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.03@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.05@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.075@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,deephit,cv,nb_all_at_0.2@15y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,mean_pred@5y,fmi,0.4520245585841105,0.8732323662064964,,,68.0,171.0
B,nfg,cv,obs_cif@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,eo@5y,fmi,0.0321543979276386,0.1745031672183666,,,2.0,15.0
B,nfg,cv,calib_intercept@5y,fmi,0.0299817459728364,0.1457542243767788,,,2.0,11.0
B,nfg,cv,calib_slope@5y,fmi,0.0495013126249832,0.1500877333468926,,,3.0,12.0
B,nfg,cv,ici@5y,fmi,0.040486839810641,0.2475633017902241,,,2.0,26.0
B,nfg,cv,e50@5y,fmi,0.0314456925802415,0.1528306525325487,,,2.0,12.0
B,nfg,cv,e90@5y,fmi,0.0628737473993968,0.310386091761662,,,4.0,38.0
B,nfg,cv,obs_concordant@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,eo_concordant@5y,fmi,0.0321543979276386,0.1745031672183666,,,2.0,15.0
B,nfg,cv,calib_intercept_concordant@5y,fmi,0.0299817459728364,0.1457542243767788,,,2.0,11.0
B,nfg,cv,calib_slope_concordant@5y,fmi,0.0495013126249832,0.1500877333468926,,,3.0,12.0
B,nfg,cv,ici_concordant@5y,fmi,0.040486839810641,0.2475633017902241,,,2.0,26.0
B,nfg,cv,e50_concordant@5y,fmi,0.0314456925802415,0.1528306525325487,,,2.0,12.0
B,nfg,cv,e90_concordant@5y,fmi,0.0628737473993968,0.310386091761662,,,4.0,38.0
B,nfg,cv,auc@5y,fmi,0.0219589847929686,0.0270062648732051,,,2.0,2.0
B,nfg,cv,cindex@5y,fmi,0.0251315830045058,0.034571644801089,,,2.0,2.0
B,nfg,cv,auc_marginal_ipcw@5y,fmi,0.0202624855880507,0.0252596459331229,,,2.0,2.0
B,nfg,cv,cindex_marginal_ipcw@5y,fmi,0.0192640357499615,0.0245124821881623,,,2.0,2.0
B,nfg,cv,at_risk_fraction@5y,fmi,4.860149189361204e-05,4.860149189361204e-05,,,2.0,2.0
B,nfg,cv,nb_at_0.01@5y,fmi,0.0086160265800331,0.0109916366191848,,,2.0,2.0
B,nfg,cv,nb_at_0.02@5y,fmi,0.0171377608465332,0.0190122890187124,,,2.0,2.0
B,nfg,cv,nb_at_0.03@5y,fmi,0.0209232455735976,0.0218053307088205,,,2.0,2.0
B,nfg,cv,nb_at_0.05@5y,fmi,0.0527503148586471,0.0670515394656253,,,3.0,4.0
B,nfg,cv,nb_at_0.075@5y,fmi,0.1069904223708207,0.1209675703549335,,,7.0,8.0
