model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
fine_gray,8,933.0,0.026913405272559417,0.026938192211504116,0.017145409074669528,0.03753572704537335,25.133333333333333,1.0,30,temporal,5.0,False
fine_gray,9,933.0,0.04285958626198184,0.025473383351196862,0.015806538049303324,0.035839585566273674,23.766666666666666,1.0,30,temporal,5.0,False
fine_gray,10,933.0,0.08304883077704983,0.06252232940335836,0.047438370846730984,0.07831725616291532,58.333333333333336,1.0,30,temporal,5.0,False
gbs_naive,1,933.0,0.0006207200795036908,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
gbs_naive,2,933.0,0.001142672948889526,3.572704537334763e-05,0.0,0.00010718113612004288,0.03333333333333333,1.0,30,temporal,5.0,True
gbs_naive,3,933.0,0.0017399045785210742,0.0002500893176134334,0.0,0.0007859949982136477,0.23333333333333334,1.0,30,temporal,5.0,True
gbs_naive,4,933.0,0.002706575476914767,0.0007859949982136478,0.0,0.002305287602715255,0.7333333333333333,1.0,30,temporal,5.0,True
gbs_naive,5,932.0,0.004423087493934741,0.0013948497854077253,0.0,0.0036838340486409155,1.3,1.0,30,temporal,5.0,True
gbs_naive,6,933.0,0.007385926987011442,0.005573419078242229,0.0015175062522329403,0.01068238656663094,5.2,1.0,30,temporal,5.0,True
gbs_naive,7,933.0,0.012891277194087643,0.014612361557699183,0.0075687745623436945,0.022885852090032154,13.633333333333333,1.0,30,temporal,5.0,True
gbs_naive,8,933.0,0.023077385998019343,0.019971418363701327,0.011662200785995,0.029299749910682387,18.633333333333333,1.0,30,temporal,5.0,False
gbs_naive,9,933.0,0.04398089561140176,0.03086816720257235,0.02052250803858521,0.042358878170775285,28.8,1.0,30,temporal,5.0,False
gbs_naive,10,933.0,0.11708612834762645,0.06477313326187926,0.04979992854590927,0.08071096820292963,60.43333333333333,1.0,30,temporal,5.0,False
logistic,1,933.0,0.0007292464273419906,7.145409074669524e-05,0.0,0.00021436227224008573,0.06666666666666667,1.0,30,temporal,5.0,True
logistic,2,933.0,0.0014778662479864762,0.000571632725973562,0.0,0.0017711682743837061,0.5333333333333333,1.0,30,temporal,5.0,True
logistic,3,933.0,0.002500027143535787,0.0016434440871739907,0.0,0.00435869953554841,1.5333333333333334,1.0,30,temporal,5.0,True
logistic,4,933.0,0.004004554648434916,0.0009289031797070384,0.0,0.0028224365844944626,0.8666666666666667,1.0,30,temporal,5.0,True
logistic,5,932.0,0.006238816449402585,0.003040057224606581,0.00025035765379113016,0.0068311874105865525,2.8333333333333335,1.0,30,temporal,5.0,True
logistic,6,933.0,0.00968052883982025,0.004072883172561629,0.0006243301178992498,0.008540550196498749,3.8,1.0,30,temporal,5.0,True
logistic,7,933.0,0.015406648090982319,0.011254019292604504,0.005052697391925687,0.01840300107181136,10.5,1.0,30,temporal,5.0,True
logistic,8,933.0,0.025069621895412047,0.025759199714183643,0.016128081457663455,0.03633797784923187,24.033333333333335,1.0,30,temporal,5.0,False
logistic,9,933.0,0.04382710711331994,0.02929617720614506,0.019127366916755987,0.04025276884601644,27.333333333333332,1.0,30,temporal,5.0,False
logistic,10,933.0,0.11070540133103765,0.06162915326902466,0.046688102893890686,0.07719810646659521,57.5,1.0,30,temporal,5.0,False
logistic_cr,1,933.0,0.0008679738746854332,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
logistic_cr,2,933.0,0.0016749540164840003,0.0006073597713469097,0.0,0.0018935334047874243,0.5666666666666667,1.0,30,temporal,5.0,True
logistic_cr,3,933.0,0.002737140566981992,0.0017863522686673813,0.0,0.00448463737048946,1.6666666666666667,1.0,30,temporal,5.0,True
logistic_cr,4,933.0,0.004256725442039947,0.0008217220435869955,0.0,0.002519649874955341,0.7666666666666667,1.0,30,temporal,5.0,True
logistic_cr,5,932.0,0.006437802268317491,0.0027896995708154505,0.00019581545064377686,0.006403791130185979,2.6,1.0,30,temporal,5.0,True
logistic_cr,6,933.0,0.009710931677644872,0.00435869953554841,0.0008386923901393356,0.009042515183994283,4.066666666666666,1.0,30,temporal,5.0,True
logistic_cr,7,933.0,0.015001287679062142,0.011396927474097896,0.0051956055734190786,0.01861557699178278,10.633333333333333,1.0,30,temporal,5.0,True
logistic_cr,8,933.0,0.02354530302670577,0.0256520185780636,0.015910146480886032,0.03596373704894605,23.933333333333334,1.0,30,temporal,5.0,False
logistic_cr,9,933.0,0.03964231794578346,0.02929617720614506,0.01895230439442658,0.04036173633440514,27.333333333333332,1.0,30,temporal,5.0,False
logistic_cr,10,933.0,0.09450043314894913,0.061557699178277976,0.0467256162915327,0.07712129331904252,57.43333333333333,1.0,30,temporal,5.0,False
nfg,1,933.0,0.0021670198511463622,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
nfg,2,933.0,0.0022441082861266244,0.00021436227224008576,0.0,0.000661843515541264,0.2,1.0,30,temporal,5.0,True
nfg,3,933.0,0.0024741624521145067,0.0005001786352268668,0.0,0.0015907466952483024,0.4666666666666667,1.0,30,temporal,5.0,True
nfg,4,933.0,0.0030039974286801756,0.00017863522686673814,0.0,0.0005546623794212211,0.16666666666666666,1.0,30,temporal,5.0,True
nfg,5,932.0,0.004018153742560567,0.002682403433476395,0.00010729613733905577,0.006368025751072959,2.5,1.0,30,temporal,5.0,True
nfg,6,933.0,0.0058068342762425266,0.0059664165773490535,0.0017488388710253662,0.011184351554126472,5.566666666666666,1.0,30,temporal,5.0,True
nfg,7,933.0,0.010019859534738785,0.01479099678456592,0.007643801357627725,0.02285012504465881,13.8,1.0,30,temporal,5.0,True
nfg,8,933.0,0.020143179109352028,0.01675598428010004,0.00905591282600929,0.02520811003929975,15.633333333333333,1.0,30,temporal,5.0,False
nfg,9,933.0,0.04402325436799679,0.027188281529117547,0.01739549839228296,0.03796445158985352,25.366666666666667,1.0,30,temporal,5.0,False
nfg,10,933.0,0.10039550450618591,0.06998928188638802,0.05422650946766704,0.086680957484816,65.3,1.0,30,temporal,5.0,False
rsf_cr,1,933.0,0.00020829199108729103,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
rsf_cr,2,933.0,0.0008149476322875043,0.00010718113612004287,0.0,0.0003215434083601286,0.1,1.0,30,temporal,5.0,True
rsf_cr,3,933.0,0.0018420496428332108,0.0005359056806002145,0.0,0.0017336548767416928,0.5,1.0,30,temporal,5.0,True
rsf_cr,4,933.0,0.003452133135306785,0.0011789924973204717,0.0,0.003091282600928903,1.1,1.0,30,temporal,5.0,True
rsf_cr,5,932.0,0.005918849992802765,0.002682403433476395,0.00021459227467811158,0.006277718168812589,2.5,1.0,30,temporal,5.0,True
rsf_cr,6,933.0,0.009857795052388828,0.008110039299749912,0.002963558413719186,0.014239907109682029,7.566666666666666,1.0,30,temporal,5.0,True
rsf_cr,7,933.0,0.016617612118082128,0.01146838156484459,0.005304573061807789,0.018544122901036086,10.7,1.0,30,temporal,5.0,True
rsf_cr,8,933.0,0.02821487250440895,0.018828152911754204,0.010680600214362273,0.027887638442300824,17.566666666666666,1.0,30,temporal,5.0,False
rsf_cr,9,933.0,0.04709201433627029,0.03204715969989283,0.02145141121829225,0.043411932833154705,29.9,1.0,30,temporal,5.0,False
rsf_cr,10,933.0,0.08951780120597692,0.06330832440157201,0.048297606287959996,0.07919346195069667,59.06666666666667,1.0,30,temporal,5.0,False
rsf_naive,1,933.0,0.00019943711944532725,0.0,0.0,0.0,0.0,1.0,30,temporal,5.0,True
rsf_naive,2,933.0,0.0007964562431652776,7.145409074669526e-05,0.0,0.00021436227224008576,0.06666666666666667,1.0,30,temporal,5.0,True
rsf_naive,3,933.0,0.0017977263703851903,0.0007859949982136477,0.0,0.0024481957842086453,0.7333333333333333,1.0,30,temporal,5.0,True
rsf_naive,4,933.0,0.003334573668940774,0.0010360843158270813,0.0,0.002931404072883171,0.9666666666666667,1.0,30,temporal,5.0,True
rsf_naive,5,932.0,0.005682892525862426,0.003648068669527897,0.000536480686695279,0.007834406294706723,3.4,1.0,30,temporal,5.0,True
rsf_naive,6,933.0,0.00948476875092513,0.006395141121829225,0.001871204001429082,0.01181046802429439,5.966666666666667,1.0,30,temporal,5.0,True
rsf_naive,7,933.0,0.01611106226624286,0.012254376563058238,0.0057842086459449805,0.01959896391568417,11.433333333333334,1.0,30,temporal,5.0,True
rsf_naive,8,933.0,0.02801847057454877,0.01868524473026081,0.010554662379421221,0.027635762772418727,17.433333333333334,1.0,30,temporal,5.0,False
rsf_naive,9,933.0,0.04895065811564014,0.02868881743479815,0.01846552340121472,0.03979010360843158,26.766666666666666,1.0,30,temporal,5.0,False
rsf_naive,10,933.0,0.10256472175031546,0.06670239371204004,0.051208467309753494,0.08282065023222579,62.233333333333334,1.0,30,temporal,5.0,False
