model,decile,n,mean_pred,obs_cif,obs_lo,obs_hi,n_events,at_risk_fraction,n_imp,split,horizon_y,flag_sparse
deephit,5,4115.0,0.004158196898174931,0.003998975167060013,0.0021399154751877304,0.006124837073645332,15.088888888888889,0.7931767247198596,30,cv,5.0,False
deephit,6,4115.866666666667,0.006974705096428732,0.007714060278141535,0.0050949339575218225,0.010593328299947911,29.344444444444445,0.7892113637678643,30,cv,5.0,False
deephit,7,4114.944444444444,0.012436383088097884,0.011427969555912595,0.008151244416929963,0.014963523848086082,42.28888888888889,0.7871201759150976,30,cv,5.0,False
deephit,8,4114.188888888889,0.022639651090643607,0.015998630791292996,0.01204459589402837,0.020187429364728438,58.13333333333333,0.7793300546940874,30,cv,5.0,False
deephit,9,4115.0,0.0394031460048092,0.030228510992636442,0.02487257744554661,0.03592845672425736,111.33333333333333,0.789998649925746,30,cv,5.0,False
deephit,10,4116.0,0.07677092776078302,0.08442225753280634,0.07564518693612571,0.09335678707150019,315.0777777777778,0.8161294676600799,30,cv,5.0,False
fine_gray,1,4115.0,0.0009143080887990979,0.0002995905983498832,0.0,0.0009257959421742598,1.011111111111111,0.7951856352099367,30,cv,5.0,True
fine_gray,2,4115.0,0.0016565086527841222,0.0010493431911841502,0.00016532057277391561,0.0021961357432036623,3.911111111111111,0.8060888348859188,30,cv,5.0,True
fine_gray,3,4115.655555555555,0.002551446946780344,0.0016557622310451317,0.0005224630190213042,0.0030282727235135354,6.2555555555555555,0.8034226691505933,30,cv,5.0,True
fine_gray,4,4114.344444444445,0.0038255080913477974,0.003455469052626511,0.0017214399681365615,0.005427058230398474,13.022222222222222,0.8090042601832649,30,cv,5.0,True
fine_gray,5,4115.0,0.0057954727288526894,0.005745725314823615,0.003504190312189089,0.008252070518163781,21.788888888888888,0.7911138112596193,30,cv,5.0,False
