model,pred_bin,pred,obs,n_imp,split,horizon_y
cox_naive,24,0.0020589780810666715,0.00013757070600937116,30,temporal,5.0
cox_naive,25,0.0021548918621599657,0.00015841472891110856,30,temporal,5.0
cox_naive,26,0.0022570248944666217,0.00018293792243527783,30,temporal,5.0
cox_naive,27,0.0023777014527862224,0.00021434695362588426,30,temporal,5.0
cox_naive,28,0.0024884222899688906,0.0002461325383294947,30,temporal,5.0
cox_naive,29,0.0026028130607970348,0.0002819940286359753,30,temporal,5.0
cox_naive,30,0.002729391312172549,0.0003247539653933133,30,temporal,5.0
cox_naive,31,0.0028565433274058403,0.00037187682188772144,30,temporal,5.0
cox_naive,32,0.0029978377260703537,0.0004282262654818236,30,temporal,5.0
cox_naive,33,0.003147656107037021,0.0004932645082260767,30,temporal,5.0
cox_naive,34,0.0033033430292050635,0.0005665772092837991,30,temporal,5.0
cox_naive,35,0.003450548699896763,0.0006412805425180523,30,temporal,5.0
cox_naive,36,0.0035997659251544036,0.0007221357919900085,30,temporal,5.0
cox_naive,37,0.0037733748217267235,0.000822568630134124,30,temporal,5.0
cox_naive,38,0.0039816971936885775,0.0009516950995105856,30,temporal,5.0
cox_naive,39,0.004175967537653463,0.0010815630228373434,30,temporal,5.0
cox_naive,40,0.004385507834329177,0.0012302020563628316,30,temporal,5.0
cox_naive,41,0.004624605256139999,0.0014115283440937043,30,temporal,5.0
cox_naive,42,0.004861665741382102,0.0016024857745607615,30,temporal,5.0
cox_naive,43,0.005119078992173842,0.0018215557730534035,30,temporal,5.0
cox_naive,44,0.005375695513571002,0.0020518589146814076,30,temporal,5.0
cox_naive,45,0.0056319463527300575,0.0022920116822459534,30,temporal,5.0
cox_naive,46,0.005900556507957967,0.002554805056115887,30,temporal,5.0
cox_naive,47,0.006183363037970668,0.002841656152929328,30,temporal,5.0
cox_naive,48,0.006501416946401245,0.003175341001602498,30,temporal,5.0
cox_naive,49,0.006835873981076784,0.0035372424043160545,30,temporal,5.0
cox_naive,50,0.007175774449409871,0.003914803510059858,30,temporal,5.0
cox_naive,51,0.007548598696379458,0.0043376163303226875,30,temporal,5.0
cox_naive,52,0.00796410512953778,0.004818110982297578,30,temporal,5.0
cox_naive,53,0.008346879097207714,0.00526709177818836,30,temporal,5.0
cox_naive,54,0.008719241848552465,0.005708054428246071,30,temporal,5.0
cox_naive,55,0.009145976697477746,0.006217096181238561,30,temporal,5.0
cox_naive,56,0.009620517842715606,0.006786524871266578,30,temporal,5.0
cox_naive,57,0.010082424455333113,0.00734193619667353,30,temporal,5.0
cox_naive,58,0.010635253709973551,0.008006365468220703,30,temporal,5.0
cox_naive,59,0.011216803498976627,0.008701626812542678,30,temporal,5.0
cox_naive,60,0.011770636958957904,0.009359083991120457,30,temporal,5.0
cox_naive,61,0.012358039677038414,0.010049146664772446,30,temporal,5.0
cox_naive,62,0.013036758527355922,0.01083711774691887,30,temporal,5.0
cox_naive,63,0.013787529175330788,0.011694923555265697,30,temporal,5.0
cox_naive,64,0.01456016839288869,0.012560065633998958,30,temporal,5.0
cox_naive,65,0.01528937736676739,0.013359810693196457,30,temporal,5.0
cox_naive,66,0.01609571451860357,0.014224037937391125,30,temporal,5.0
cox_naive,67,0.016960371965085753,0.015127285096782732,30,temporal,5.0
cox_naive,68,0.017847058779458067,0.016028516905247942,30,temporal,5.0
cox_naive,69,0.018770542440173694,0.016939917181673078,30,temporal,5.0
cox_naive,70,0.019699549942254865,0.01782999525808534,30,temporal,5.0
cox_naive,71,0.020614007246433495,0.018680733017355056,30,temporal,5.0
cox_naive,72,0.02168835314265105,0.019648733672602076,30,temporal,5.0
cox_naive,73,0.022914784304605397,0.02071359894838241,30,temporal,5.0
cox_naive,74,0.02432435343796685,0.02189065870710845,30,temporal,5.0
cox_naive,75,0.02564424532424166,0.022947610310245885,30,temporal,5.0
cox_naive,76,0.02684865553881375,0.023877502420380285,30,temporal,5.0
cox_naive,77,0.028243985735748583,0.02491711781320285,30,temporal,5.0
cox_naive,78,0.029674866402795503,0.02594300088611454,30,temporal,5.0
cox_naive,79,0.031278420167119916,0.027050282262655895,30,temporal,5.0
cox_naive,80,0.03315202449654519,0.028291032026353972,30,temporal,5.0
cox_naive,81,0.03531376398344178,0.029659701012575663,30,temporal,5.0
cox_naive,82,0.03738145398924265,0.03091294465425889,30,temporal,5.0
cox_naive,83,0.03956194288576439,0.03218272032622447,30,temporal,5.0
cox_naive,84,0.04203490245048767,0.03356626103253893,30,temporal,5.0
