file,source_url,bytes_repo,bytes_fresh,sha256_repo,sha256_fresh,identical,http_status,retrieved_utc
RXQ_RX_2003-2004.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/RXQ_RX_C.XPT,2945920,2945920,777e1e3d7dab3639d9c9841f5340fa13aca3933b7339628b8f2f2e1500c58503,777e1e3d7dab3639d9c9841f5340fa13aca3933b7339628b8f2f2e1500c58503,true,200,2026-09-04T06:33:05Z
DEMO_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.XPT,3566560,3566560,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af,true,200,2026-09-04T06:33:06Z
BPX_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BPX_D.XPT,2233440,2233440,aed2f33909986e1ff0e3d58ad35795741ee90b1d146420ccbc4c5fff9436c0e9,aed2f33909986e1ff0e3d58ad35795741ee90b1d146420ccbc4c5fff9436c0e9,true,200,2026-09-04T06:33:06Z
BMX_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BMX_D.XPT,2153760,2153760,a52909be94cf825ba8a65477a9528603576fd5fbf3abadd72549a3f15c88566e,a52909be94cf825ba8a65477a9528603576fd5fbf3abadd72549a3f15c88566e,true,200,2026-09-04T06:33:07Z
TCHOL_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/TCHOL_D.XPT,195280,195280,e3807e23aee2a6617b2a051d3d370a2be52be7325f6271432d514aca7f13dd4f,e3807e23aee2a6617b2a051d3d370a2be52be7325f6271432d514aca7f13dd4f,true,200,2026-09-04T06:33:08Z
HDL_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/HDL_D.XPT,195280,195280,1c6d56cbf21819c95a49e5045de1fce408af156bb88a0c7b3e33d37e9afd204b,1c6d56cbf21819c95a49e5045de1fce408af156bb88a0c7b3e33d37e9afd204b,true,200,2026-09-04T06:33:09Z
GHB_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/GHB_D.XPT,112720,112720,5662b07e9c0ac2afa600604b4e0f224567ce9e1e07b8787aaf5ad98717701f29,5662b07e9c0ac2afa600604b4e0f224567ce9e1e07b8787aaf5ad98717701f29,true,200,2026-09-04T06:33:09Z
DIQ_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DIQ_D.XPT,2834560,2834560,ac81ed56d09aadbe12df39c6991d9f4d9cfa04211aee4d103d38c981390b826e,ac81ed56d09aadbe12df39c6991d9f4d9cfa04211aee4d103d38c981390b826e,true,200,2026-09-04T06:33:10Z
SMQ_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/SMQ_D.XPT,2578880,2578880,ef82433aca1a36ba2310a624ccdbaf195e2a258a88af0f284ef2a58d36be3011,ef82433aca1a36ba2310a624ccdbaf195e2a258a88af0f284ef2a58d36be3011,true,200,2026-09-04T06:33:11Z
BIOPRO_2005-2006.XPT,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BIOPRO_D.XPT,2072000,2072000,6de916025812b78db1b81e62f77d94d83ed8b046d9d5c8a9d584f7caec120310,6de916025812b78db1b81e62f77d94d83ed8b046d9d5c8a9d584f7caec120310,true,200,2026-09-04T06:33:12Z
